alpha,arousal1,betha,theta,gamma,valence1,Stimuli(Visual),Response
2.05,0.488,2.51,3.79,1.41,-0.155,Happy,Happy
2.05,0.488,2.74,3.8,1.47,-0.133,Happy,Happy
2.23,0.448,2.8,3.9,1.46,-0.0715,Happy,Happy
2.43,0.411,2.95,3.95,1.41,-0.024,Happy,Happy
2.65,0.378,2.98,3.88,1.44,-0.00767,Happy,Happy
2.8,0.357,3,3.61,1.43,0.00904,Happy,Happy
2.79,0.358,3.02,3.44,1.38,0.0152,Happy,Happy
2.74,0.365,2.91,3.49,1.37,0.0231,Happy,Happy
2.72,0.367,2.88,3.55,1.35,0.0318,Happy,Happy
2.73,0.367,2.92,3.56,1.49,0.0274,Happy,Happy
2.73,0.367,2.98,3.55,1.44,0.0195,Happy,Happy
2.7,0.37,2.89,3.55,1.34,0.0229,Happy,Happy
2.72,0.367,2.92,3.46,1.42,0.0259,Happy,Happy
2.88,0.347,2.9,3.27,1.42,0.00226,Happy,Happy
2.9,0.344,2.78,3.3,1.41,-0.0122,Happy,Happy
2.71,0.369,2.66,3.28,1.36,-0.0298,Happy,Happy
2.65,0.377,2.58,3.15,1.37,-0.0509,Happy,Happy
2.77,0.361,2.66,2.99,1.39,-0.0477,Happy,Happy
2.81,0.355,2.73,3.15,1.45,-0.0501,Happy,Happy
2.86,0.349,2.71,3.46,1.47,-0.0482,Happy,Happy
2.95,0.339,2.61,3.72,1.58,-0.0462,Happy,Happy
3.02,0.332,2.44,3.93,1.51,-0.0453,Happy,Happy
3.06,0.327,2.33,4.04,1.48,-0.0391,Happy,Happy
2.96,0.338,2.17,4.1,1.47,-0.0344,Happy,Happy
2.7,0.371,2.28,4.02,1.45,-0.0433,Happy,Happy
2.7,0.371,2.29,3.96,1.48,-0.0609,Happy,Happy
2.78,0.359,2.33,4.01,1.47,-0.0523,Happy,Happy
2.72,0.367,2.33,4.11,1.44,-0.0437,Happy,Happy
2.58,0.387,2.14,4.14,1.42,-0.0476,Happy,Happy
2.56,0.39,2.31,4.03,1.38,-0.0579,Happy,Happy
2.61,0.383,2.45,4.07,1.18,-0.0555,Happy,Happy
2.67,0.375,2.51,4.13,1.09,-0.0328,Happy,Happy
2.76,0.363,2.54,4.06,1.09,-0.0194,Happy,Happy
2.87,0.349,2.5,3.97,1.11,-0.0378,Happy,Happy
2.88,0.348,2.55,3.89,1.22,-0.0369,Happy,Happy
3.07,0.326,2.56,3.87,1.26,0.0158,Happy,Happy
3.23,0.31,2.54,3.83,1.27,0.0441,Happy,Happy
3.23,0.31,2.57,3.76,1.28,0.052,Happy,Happy
3.22,0.311,2.52,3.64,1.29,0.0551,Happy,Happy
3.28,0.305,2.57,3.54,1.28,0.0628,Happy,Happy
3.28,0.305,2.57,3.79,1.35,0.0715,Happy,Happy
3.29,0.304,2.58,3.97,1.3,0.0836,Happy,Happy
3.41,0.293,2.51,4.16,1.29,0.085,Happy,Happy
3.37,0.296,2.54,4.42,1.4,0.102,Happy,Happy
3.39,0.295,2.55,4.61,1.32,0.106,Happy,Happy
3.4,0.294,2.51,4.66,1.37,0.0867,Happy,Happy
3.23,0.31,2.53,4.69,1.37,0.0792,Happy,Happy
3.06,0.327,2.65,4.72,1.41,0.0764,Happy,Happy
3.02,0.331,2.74,4.72,1.42,0.07,Happy,Happy
3.04,0.329,2.71,4.72,1.41,0.0556,Happy,Happy
3.03,0.33,2.67,4.68,1.41,0.0368,Happy,Happy
2.95,0.339,2.65,4.45,1.4,0.0314,Happy,Happy
2.78,0.359,2.74,4.35,1.44,0.0244,Happy,Happy
2.37,0.422,2.93,4.33,1.46,-0.0486,Calm,Calm
2.43,0.411,2.57,4.12,1.35,-0.0588,Calm,Calm
2.49,0.401,2.65,3.9,1.4,-0.08,Calm,Calm
2.58,0.388,2.64,4.13,1.42,-0.112,Calm,Calm
2.73,0.367,2.58,4.3,1.42,-0.112,Calm,Calm
3.03,0.331,2.55,4.14,1.41,-0.105,Calm,Calm
3.17,0.316,2.53,4.11,1.49,-0.0986,Calm,Calm
3.29,0.304,2.46,4.22,1.57,-0.0699,Calm,Calm
3.28,0.305,2.63,4.23,1.55,-0.0639,Calm,Calm
3.23,0.309,3.11,4.46,1.53,-0.065,Calm,Calm
3.26,0.307,3.09,4.81,1.6,-0.0507,Calm,Calm
3.38,0.296,3.19,5.06,1.6,-0.0252,Calm,Calm
3.37,0.297,3.22,5.22,1.53,-0.0118,Calm,Calm
3.32,0.301,3.35,5.34,1.52,-0.0118,Calm,Calm
3.27,0.306,3.44,5.35,1.67,-0.00953,Calm,Calm
3.1,0.323,3.52,5.33,1.99,0.00275,Calm,Calm
3.1,0.322,3.69,5.47,1.98,0.0419,Calm,Calm
3.59,0.279,3.75,5.72,1.89,0.06,Calm,Calm
3.93,0.254,3.82,5.79,1.97,0.046,Calm,Calm
4.24,0.236,3.68,5.79,1.93,0.0279,Calm,Calm
4.46,0.224,3.59,5.75,1.97,0.0196,Calm,Calm
4.59,0.218,3.54,5.65,1.92,0.0171,Calm,Calm
4.62,0.216,3.51,5.51,1.92,0.0182,Calm,Calm
4.63,0.216,3.46,5.37,1.94,0.0175,Calm,Calm
4.65,0.215,3.34,5.27,2,0.0164,Calm,Calm
4.65,0.215,3.31,5.21,1.76,0.0163,Calm,Calm
4.65,0.215,3.25,5.11,1.82,0.0157,Calm,Calm
4.58,0.218,3.01,4.76,2,0.0122,Calm,Calm
4.39,0.228,2.87,4.08,2.05,0.00691,Calm,Calm
4.09,0.244,2.67,3.74,1.99,0.00362,Calm,Calm
3.85,0.26,2.65,3.68,2.07,0.0107,Calm,Calm
3.22,0.31,2.62,3.39,2.08,0.033,Calm,Calm
2.43,0.411,2.98,3.16,2.18,0.0295,Calm,Calm
2.4,0.417,3.08,2.97,2.23,0.00713,Calm,Calm
2.56,0.39,3.05,2.91,2.26,0.0209,Calm,Calm
2.78,0.36,3.03,3.01,2.25,0.0533,Calm,Calm
2.94,0.34,3.06,3.04,2.28,0.0567,Calm,Calm
3.03,0.33,3.06,3.04,2.06,0.0581,Calm,Calm
3.08,0.324,3.05,2.98,1.96,0.0603,Calm,Calm
3.05,0.328,2.98,2.88,1.96,0.0592,Calm,Calm
3,0.333,2.99,2.73,1.94,0.0526,Calm,Calm
3.02,0.331,2.99,2.61,1.87,0.0476,Calm,Calm
3.07,0.326,2.85,2.64,1.89,0.0523,Calm,Calm
3.07,0.326,2.56,2.66,1.87,0.0551,Calm,Calm
3.03,0.33,2.58,2.78,1.8,0.067,Calm,Calm
2.93,0.342,2.62,2.82,1.78,0.0826,Calm,Calm
2.84,0.352,2.57,2.69,1.75,0.0679,Calm,Calm
2.95,0.339,2.43,2.9,1.77,0.0308,Calm,Calm
2.92,0.342,2.43,2.97,1.81,0.0135,Calm,Calm
2.92,0.343,2.47,3.1,1.83,0.0178,Calm,Calm
3.04,0.329,2.48,3.15,1.72,0.0205,Calm,Calm
3.08,0.325,2.55,3.1,1.77,0.0208,Calm,Calm
3.03,0.33,2.59,3.1,1.74,0.0161,Calm,Calm
3.05,0.328,2.68,3.07,1.6,0.00928,Calm,Calm
3.08,0.325,2.65,3.11,1.7,0.00678,Calm,Calm
3.08,0.324,2.58,3.2,1.79,-0.000939,Calm,Calm
3.04,0.329,2.56,3.24,1.8,-0.00309,Calm,Calm
2.97,0.336,2.68,3.1,1.77,0.00346,Calm,Calm
2.92,0.342,2.59,3.01,1.75,0.0133,Calm,Calm
2.86,0.349,2.61,3.01,1.73,0.0213,Calm,Calm
2.75,0.363,2.86,3.07,1.86,0.0209,Calm,Calm
2.67,0.375,2.88,3.37,1.83,0.00449,Calm,Calm
2.78,0.359,2.86,3.41,1.8,0.00278,Calm,Calm
2.82,0.355,2.72,3.44,1.81,0.00807,Calm,Calm
2.76,0.363,2.69,3.6,1.71,0.000677,Calm,Calm
2.78,0.359,2.8,3.55,1.62,-0.0008,Calm,Calm
2.74,0.365,2.89,3.45,1.54,-0.00243,Calm,Calm
2.55,0.392,2.99,3.45,1.54,-0.00379,Calm,Calm
2.62,0.381,3.02,3.44,1.57,-0.0209,Calm,Calm
3.01,0.332,3.1,3.39,1.61,-0.024,Calm,Calm
3.3,0.303,3.1,3.32,1.38,-0.0172,Calm,Calm
3.39,0.295,2.98,3.09,1.4,-0.0103,Calm,Calm
3.38,0.296,3,2.93,1.6,-0.00467,Calm,Calm
3.44,0.291,2.99,3.55,1.61,-0.000847,Calm,Calm
3.54,0.283,3.03,4.02,1.6,-0.000221,Calm,Calm
3.6,0.278,2.94,4.16,1.56,-0.00154,Calm,Calm
3.58,0.279,2.92,4.25,1.63,-0.00206,Calm,Calm
3.61,0.277,2.82,4.27,1.68,-0.00407,Calm,Calm
3.71,0.27,2.78,4.28,1.77,-0.00269,Calm,Calm
3.68,0.272,2.68,4.28,1.78,0.00336,Calm,Calm
3.5,0.285,2.8,4.28,1.75,0.0121,Calm,Calm
3.35,0.298,2.76,4.31,1.8,0.0178,Calm,Calm
3.29,0.304,2.66,4.32,1.84,0.0154,Calm,Calm
3.2,0.312,2.68,4.28,1.73,0.0123,Calm,Calm
3.1,0.323,2.84,3.93,1.75,0.0111,Calm,Calm
2.98,0.335,2.92,3.48,1.77,0.0164,Calm,Calm
2.88,0.347,2.98,3.08,1.78,0.0236,Calm,Calm
2.99,0.334,3,2.79,1.74,0.0113,Calm,Calm
3.2,0.312,3.05,3.01,1.62,-0.0184,Calm,Calm
3.36,0.297,2.98,3.07,1.59,-0.0432,Calm,Calm
3.44,0.291,2.87,3.29,1.5,-0.0624,Calm,Calm
3.47,0.288,2.83,3.52,1.58,-0.0746,Calm,Calm
3.49,0.286,2.85,3.57,1.53,-0.0658,Calm,Calm
3.52,0.284,2.93,3.55,1.51,-0.0562,Calm,Calm
3.51,0.285,2.96,3.61,1.52,-0.0569,Calm,Calm
3.52,0.284,2.81,3.65,1.56,-0.0493,Calm,Calm
3.59,0.279,2.68,3.61,1.67,-0.0351,Calm,Calm
3.6,0.278,2.62,3.63,1.7,-0.0252,Calm,Calm
3.52,0.284,2.46,3.6,1.75,-0.0126,Calm,Calm
3.31,0.302,2.45,3.54,1.73,0.0112,Calm,Calm
2.94,0.34,2.46,3.56,1.79,0.0761,Calm,Calm
2.77,0.361,2.53,3.51,1.81,0.199,Calm,Calm
2.68,0.373,2.55,3.35,1.8,0.348,Calm,Calm
2.61,0.383,2.55,3.27,1.74,0.373,Calm,Calm
2.69,0.372,2.58,3.19,1.65,0.214,Calm,Calm
2.86,0.35,2.59,3.08,1.58,0.118,Calm,Calm
3,0.333,2.61,3.2,1.56,0.0537,Calm,Calm
3.37,0.297,2.84,4.98,2.16,0.0113,Sad,Agressive
3.29,0.304,2.83,4.99,2.07,0.0195,Sad,Agressive
3.3,0.303,2.86,4.99,2.01,0.0289,Sad,Agressive
3.38,0.296,2.9,5.04,1.99,0.0387,Sad,Agressive
3.39,0.295,2.91,5.34,1.97,0.0481,Sad,Agressive
3.38,0.296,2.84,5.63,1.72,0.0537,Sad,Agressive
3.32,0.301,2.75,5.7,1.73,0.0506,Sad,Agressive
3.08,0.325,2.62,5.58,1.87,0.0592,Sad,Agressive
2.84,0.352,2.31,5.41,1.72,0.0793,Sad,Agressive
2.78,0.36,2.37,5.4,1.65,0.093,Sad,Agressive
2.71,0.369,2.33,5.53,1.53,0.105,Sad,Agressive
2.81,0.356,2.27,5.75,1.54,0.1,Sad,Agressive
2.87,0.349,2.44,5.96,1.54,0.0818,Sad,Agressive
2.76,0.362,2.61,6.07,1.6,0.0678,Sad,Agressive
2.54,0.393,2.62,6.02,1.63,0.0527,Sad,Agressive
2.28,0.439,2.86,5.84,1.69,0.0263,Sad,Agressive
2.48,0.404,2.93,5.7,1.65,0.00841,Sad,Agressive
2.93,0.341,2.95,5.66,1.61,-0.00239,Sad,Agressive
3.2,0.313,3.04,5.7,1.44,-0.0142,Sad,Agressive
3.3,0.303,3.04,5.69,1.53,-0.0212,Sad,Agressive
3.36,0.298,3.12,5.63,1.59,-0.0214,Sad,Agressive
3.4,0.295,3.11,5.43,1.61,-0.018,Sad,Agressive
3.43,0.292,3.11,5.11,1.6,-0.0176,Sad,Agressive
3.47,0.288,3.03,4.73,1.5,-0.0165,Sad,Agressive
3.49,0.287,2.95,4.38,1.48,-0.0186,Sad,Agressive
3.52,0.284,2.85,4.19,1.47,-0.0103,Sad,Agressive
3.56,0.281,2.75,4.13,1.43,0.00256,Sad,Agressive
3.41,0.293,2.81,4.05,1.48,0.0111,Sad,Agressive
3.14,0.318,2.77,3.58,1.48,0.0252,Sad,Agressive
3,0.333,2.77,2.97,1.5,0.0452,Sad,Agressive
2.89,0.346,2.76,2.66,1.44,0.053,Sad,Agressive
2.9,0.345,2.67,2.5,1.43,0.0461,Sad,Agressive
2.85,0.351,2.76,2.3,1.5,0.0503,Sad,Agressive
2.72,0.368,2.83,2.24,1.68,0.0644,Sad,Agressive
2.73,0.366,2.91,2.32,1.7,0.0806,Sad,Agressive
2.77,0.361,2.88,2.36,1.74,0.0893,Sad,Agressive
2.72,0.368,2.83,2.36,1.73,0.0563,Sad,Agressive
2.68,0.373,2.71,2.22,1.84,0.00737,Sad,Agressive
2.75,0.364,2.64,2.36,1.88,-0.0194,Sad,Agressive
2.78,0.36,2.63,2.63,2.08,-0.0273,Sad,Agressive
2.73,0.366,2.68,2.71,2.2,-0.0259,Sad,Agressive
2.66,0.376,2.73,2.7,2.21,-0.0261,Sad,Agressive
2.65,0.377,2.84,2.75,2.32,-0.0276,Sad,Agressive
2.62,0.382,2.93,3.01,2.36,-0.0387,Sad,Agressive
2.51,0.398,2.87,3.21,2.36,-0.0753,Sad,Agressive
2.66,0.376,2.88,3.16,2.38,-0.0911,Sad,Agressive
3.02,0.331,2.88,3.13,2.4,-0.0577,Sad,Agressive
3.26,0.307,2.91,3.14,2.39,-0.0353,Sad,Agressive
3.28,0.305,2.84,3.26,2.34,-0.0269,Sad,Agressive
3.26,0.307,3.13,3.33,2.36,-0.0191,Sad,Agressive
3.24,0.309,3.08,3.42,2.3,-0.0189,Sad,Agressive
3.23,0.309,3.1,3.62,2.2,-0.0226,Sad,Agressive
3.23,0.31,3.11,3.7,2.26,-0.0234,Sad,Agressive
3.23,0.31,2.94,3.65,2.12,-0.0244,Sad,Agressive
3.28,0.305,2.91,3.51,2.1,-0.0174,Sad,Agressive
3.29,0.304,2.93,3.47,2.22,-0.00889,Sad,Agressive
3.12,0.32,2.94,3.53,2.39,-0.0112,Sad,Agressive
2.72,0.367,2.92,3.6,2.4,-0.0365,Sad,Agressive
2.48,0.403,2.94,3.58,2.41,-0.0521,Sad,Agressive
2.4,0.416,2.9,3.43,2.37,-0.0446,Sad,Agressive
2.37,0.422,2.47,3.32,2.34,-0.0481,Sad,Agressive
2.43,0.412,2.47,3.08,2.23,-0.0616,Sad,Agressive
2.54,0.394,2.47,2.7,2.27,-0.0703,Sad,Agressive
2.66,0.376,2.35,2.72,2.25,-0.0765,Sad,Agressive
2.7,0.371,2.34,2.88,2.25,-0.0866,Sad,Agressive
2.66,0.376,2.39,3.03,2.11,-0.0974,Sad,Agressive
2.56,0.391,2.19,3.1,1.96,-0.0941,Sad,Agressive
2.47,0.405,2.07,3.04,1.67,-0.0668,Sad,Agressive
2.55,0.392,2.06,3.07,1.63,-0.0366,Sad,Agressive
2.67,0.374,2.03,3.13,1.77,-0.0289,Sad,Agressive
2.73,0.366,2.2,3.15,1.8,-0.0243,Sad,Agressive
2.74,0.366,2.37,3.19,1.9,-0.00474,Sad,Agressive
2.7,0.37,2.32,3.37,1.92,0.0288,Sad,Agressive
2.73,0.366,2.36,3.46,1.88,0.0652,Sad,Agressive
2.69,0.371,2.57,3.43,1.87,0.102,Sad,Agressive
2.58,0.388,2.86,3.37,1.84,0.167,Sad,Agressive
2.57,0.389,2.85,3.26,1.85,0.182,Sad,Agressive
2.59,0.385,2.95,3.23,1.89,0.183,Sad,Agressive
2.68,0.373,2.94,3.17,1.9,0.119,Sad,Agressive
2.82,0.355,3.14,3.06,1.96,0.0506,Sad,Agressive
3,0.333,3.15,3.21,1.89,0.0114,Sad,Agressive
3.14,0.318,3.2,3.5,1.86,-0.0101,Sad,Agressive
3.17,0.315,3.23,3.58,1.73,-0.0219,Sad,Agressive
3.17,0.315,3.25,3.42,1.66,-0.0224,Sad,Agressive
3.15,0.318,3.28,3.34,1.68,-0.0191,Sad,Agressive
3.18,0.315,3.2,3.44,1.67,-0.0176,Sad,Agressive
3.3,0.303,3.1,3.54,1.68,-0.0158,Sad,Agressive
3.32,0.301,3.27,3.52,1.72,-0.0185,Sad,Agressive
3.32,0.301,3.36,3.53,1.59,-0.0166,Sad,Agressive
3.28,0.305,3.34,3.85,1.55,-0.00888,Sad,Agressive
3.18,0.315,3.21,4.22,1.42,-0.00213,Sad,Agressive
3.1,0.323,3.22,4.24,1.39,0.00933,Sad,Agressive
3.05,0.327,3.12,4.12,1.43,0.024,Sad,Agressive
3,0.334,3.09,4.12,1.42,0.0397,Sad,Agressive
3,0.333,3.08,4.21,1.55,0.0307,Sad,Agressive
3.04,0.328,3.01,4.25,1.53,0.000525,Sad,Agressive
2.95,0.339,2.99,4.23,1.6,-0.0263,Sad,Agressive
2.77,0.361,2.84,4.23,1.63,-0.0465,Sad,Agressive
2.74,0.365,2.69,4.23,1.69,-0.047,Sad,Agressive
2.66,0.376,2.53,4.15,1.74,-0.0684,Sad,Agressive
2.57,0.389,2.58,3.74,1.73,-0.0987,Sad,Agressive
2.46,0.406,2.57,3.29,1.7,-0.121,Sad,Agressive
2.24,0.447,2.53,3.28,1.77,-0.17,Sad,Agressive
2.25,0.445,2.58,3.25,1.7,-0.179,Sad,Agressive
2.24,0.446,2.53,3.24,1.66,-0.178,Sad,Agressive
2.13,0.469,2.48,3.82,1.56,-0.153,Sad,Agressive
3.19,0.313,3.21,4.25,2.03,-0.00667,Sad,Sad
3.21,0.311,3.27,4.26,2.03,-0.00338,Sad,Sad
3.29,0.304,3.47,4.46,2.01,0.00298,Sad,Sad
3.45,0.29,3.39,5.05,2.01,0.00531,Sad,Sad
3.76,0.266,3.37,5.54,2,0.00433,Sad,Sad
3.86,0.259,3.36,5.66,1.9,0.00294,Sad,Sad
3.82,0.262,3.36,5.59,1.62,0.00731,Sad,Sad
3.74,0.267,3.29,5.55,1.58,0.0129,Sad,Sad
3.73,0.268,3.2,5.55,1.48,0.0143,Sad,Sad
3.7,0.27,3.33,5.56,1.39,0.0171,Sad,Sad
3.64,0.275,3.39,5.58,1.42,0.0152,Sad,Sad
3.64,0.275,3.34,5.62,1.35,0.0137,Sad,Sad
3.67,0.272,3.2,5.64,1.34,0.012,Sad,Sad
3.61,0.277,3,5.53,1.23,0.00723,Sad,Sad
3.35,0.299,3.01,5.1,1.21,0.00242,Sad,Sad
2.9,0.345,3.05,4.46,1.2,0.0014,Sad,Sad
2.66,0.376,3.61,4.25,1.19,0.00934,Sad,Sad
3.18,0.315,3.68,4.29,1.18,0.00893,Sad,Sad
3.57,0.28,3.78,4.3,1.33,0.0106,Sad,Sad
3.72,0.269,3.73,4.43,1.34,0.0178,Sad,Sad
3.73,0.268,3.66,4.47,1.25,0.0187,Sad,Sad
3.93,0.254,3.62,4.42,1.23,0.0119,Sad,Sad
4.03,0.248,3.63,4.29,1.37,0.00853,Sad,Sad
3.99,0.251,3.65,4.43,1.55,0.00961,Sad,Sad
3.97,0.252,3.66,4.6,1.64,0.00932,Sad,Sad
3.98,0.251,3.72,4.61,1.83,0.008,Sad,Sad
3.97,0.252,3.66,4.65,1.84,0.0066,Sad,Sad
3.93,0.255,3.27,4.95,1.84,0.00817,Sad,Sad
3.72,0.269,3.17,5.4,1.78,0.0146,Sad,Sad
3.34,0.299,3.02,5.6,2.01,0.0144,Sad,Sad
3.33,0.3,3.03,5.62,2.14,-0.00066,Sad,Sad
3.21,0.311,3.05,5.62,2.19,-0.00146,Sad,Sad
2.88,0.348,3.07,5.62,2.17,0.000053,Sad,Sad
2.85,0.351,3.08,5.59,2.13,-0.0114,Sad,Sad
2.98,0.335,3.04,5.52,2.13,-0.00981,Sad,Sad
3.02,0.332,3.01,5.45,2.08,-0.01,Sad,Sad
3.02,0.331,2.95,5.47,1.99,-0.0122,Sad,Sad
3.02,0.331,2.75,5.43,2.01,-0.0139,Sad,Sad
2.92,0.342,2.76,5.06,2.05,-0.0324,Sad,Sad
2.88,0.348,2.83,4.34,1.96,-0.079,Sad,Sad
2.93,0.341,2.77,3.94,1.7,-0.0777,Sad,Sad
2.85,0.351,2.59,3.9,1.48,-0.0823,Sad,Sad
2.88,0.348,2.45,3.78,1.57,-0.0962,Sad,Sad
2.83,0.354,2.56,3.82,1.57,-0.098,Sad,Sad
2.61,0.383,2.52,3.89,1.46,-0.121,Sad,Sad
2.37,0.423,2.52,3.94,1.42,-0.167,Sad,Sad
2.34,0.428,2.36,3.94,1.38,-0.151,Sad,Sad
2.39,0.418,2.58,3.78,1.26,-0.117,Sad,Sad
2.37,0.421,2.7,3.6,1.32,-0.108,Sad,Sad
2.39,0.418,2.62,3.61,1.33,-0.0961,Sad,Sad
2.45,0.408,2.6,3.59,1.47,-0.106,Sad,Sad
2.54,0.394,2.59,3.48,1.51,-0.118,Sad,Sad
2.59,0.386,2.76,3.42,1.74,-0.0986,Sad,Sad
2.49,0.402,2.79,3.42,1.71,-0.0842,Sad,Sad
2.4,0.417,2.86,3.41,1.78,-0.084,Sad,Sad
2.61,0.384,2.96,3.54,1.89,-0.0502,Sad,Sad
2.77,0.361,3.2,3.98,1.95,-0.0146,Sad,Sad
2.75,0.364,3.12,4.47,1.93,-0.00698,Sad,Sad
2.73,0.367,3.14,4.75,1.96,-0.00117,Sad,Sad
2.7,0.371,3.11,4.86,2.01,0.000323,Sad,Sad
2.64,0.379,3.29,5.04,2.3,0.0114,Sad,Sad
2.62,0.381,3.64,5.33,2.35,0.0297,Sad,Sad
2.89,0.346,3.69,5.71,2.41,0.0397,Sad,Sad
3.34,0.299,3.64,5.92,2.41,0.0425,Sad,Sad
3.58,0.28,3.64,5.96,2.38,0.0383,Sad,Sad
3.58,0.28,3.6,5.96,2.45,0.0369,Sad,Sad
3.49,0.287,3.47,5.91,2.35,0.0373,Sad,Sad
3.45,0.29,3.42,5.82,2.37,0.032,Sad,Sad
3.45,0.29,3.42,5.72,2.38,0.0256,Sad,Sad
3.45,0.29,3.37,5.69,2.41,0.0264,Sad,Sad
3.5,0.285,3.4,5.68,2.29,0.0299,Sad,Sad
3.57,0.28,3.17,5.6,2.07,0.0293,Sad,Sad
3.64,0.275,3.07,5.36,1.86,0.0232,Sad,Sad
3.46,0.289,2.98,4.76,1.97,0.0194,Sad,Sad
2.99,0.334,3.21,3.92,1.92,0.00793,Sad,Sad
2.95,0.339,3.23,3.58,1.9,0.0091,Sad,Sad
3.26,0.307,3.3,3.71,2.12,0.0169,Sad,Sad
3.4,0.294,3.34,3.88,2.19,0.0192,Sad,Sad
3.39,0.295,3.37,3.94,2.21,0.0214,Sad,Sad
3.48,0.288,3.35,3.9,2.22,0.0112,Sad,Sad
3.54,0.283,3.44,3.96,2.46,-0.00285,Sad,Sad
3.53,0.283,3.36,4.1,2.6,-0.013,Sad,Sad
3.44,0.29,3.28,4.18,2.62,-0.012,Sad,Sad
3.31,0.302,3.18,4.25,2.68,-0.00785,Sad,Sad
3.27,0.306,3.3,4.32,2.64,-0.00657,Sad,Sad
3.28,0.305,3.09,4.36,2.6,-0.00742,Sad,Sad
3.2,0.313,3.1,4.42,2.53,-0.0202,Sad,Sad
2.95,0.339,3.07,4.36,2.47,-0.0504,Sad,Sad
2.86,0.35,3.02,4.28,2.43,-0.0653,Sad,Sad
2.85,0.351,2.95,4.27,2.41,-0.0462,Sad,Sad
2.78,0.359,3.01,4.3,2.39,-0.023,Sad,Sad
2.6,0.384,2.92,4.26,1.98,0.0132,Sad,Sad
2.56,0.391,2.91,4.1,1.91,0.0399,Sad,Sad
2.65,0.378,2.92,3.91,1.82,0.0421,Sad,Sad
2.71,0.369,2.93,3.72,1.64,0.0519,Sad,Sad
2.7,0.37,2.77,3.69,1.59,0.0611,Sad,Sad
