alpha,arousal1,betha,theta,gamma,valence1
2.46,0.41,3.39,4.77,3.24,0.08
2.5,0.4,3.41,4.75,3.21,0.09
2.46,0.41,3.31,4.73,3.18,0.11
2.45,0.41,3.41,4.72,3.27,0.12
2.55,0.39,3.51,4.64,3.32,0.07
2.56,0.39,3.43,4.35,3.31,0.02
2.55,0.39,3.46,4,3.33,0.02
2.56,0.39,3.68,3.86,3.34,0.03
2.5,0.4,3.79,3.86,3.41,0
2.61,0.38,3.74,3.85,3.34,-0.05
2.89,0.35,3.76,3.86,3.06,-0.05
2.97,0.34,4.25,4.09,3.9,-0.02
2.69,0.37,4.24,4.07,3.93,0
2.27,0.44,4.61,4.32,4.08,0.05
2.66,0.38,4.77,4.92,4.19,0.05
3.09,0.32,4.81,5.23,4.26,0.02
3.3,0.3,4.8,5.33,4.32,-0.01
3.28,0.31,4.8,5.48,4.47,-0.02
3.37,0.3,4.76,5.54,4.58,-0.02
3.47,0.29,4.83,5.57,4.6,-0.02
3.59,0.28,4.89,5.63,4.51,-0.02
3.67,0.27,4.9,5.63,4.63,-0.01
3.7,0.27,5.12,5.62,4.62,-0.01
3.71,0.27,5.08,5.63,4.55,-0.01
3.69,0.27,4.93,5.54,4.44,-0.01
3.5,0.29,4.82,5.17,4.39,-0.02
3.16,0.32,4.76,4.77,4.43,-0.01
3.07,0.33,4.72,4.54,4.56,0
3.05,0.33,4.73,4.26,4.6,0
2.93,0.34,4.79,4.21,4.65,0.01
2.85,0.35,4.58,4.01,4.65,0.01
3.1,0.32,4.61,3.75,4.77,-0.03
3.2,0.31,4.54,3.92,4.71,-0.05
3.15,0.32,4.32,4.13,4.73,-0.06
3.16,0.32,4.45,4.18,4.74,-0.06
3.2,0.31,4.91,4.15,5.11,-0.07
3.53,0.28,5.28,4.16,5.34,-0.04
4.07,0.25,5.31,4.28,5.39,-0.02
4.39,0.23,5.37,4.29,5.63,-0.01
4.46,0.22,5.49,4.26,5.61,-0.01
4.46,0.22,5.55,4.25,5.68,-0.01
4.43,0.23,5.63,4.27,5.92,-0.01
4.34,0.23,6.01,4.27,6.07,0
4.31,0.23,6.15,4.1,6.35,0
4.32,0.23,6.16,3.91,6.51,0
4.34,0.23,6.29,3.86,6.59,0
4.4,0.23,6.12,3.88,6.57,-0.01
