alpha,arousal1,betha,theta,gamma,valence1
2.68,0.37,2.59,3.62,1.62,0.02
2.70,0.37,2.38,3.41,1.57,0.01
2.59,0.39,2.35,2.88,1.57,0.01
2.41,0.41,2.39,2.35,1.54,0.00
2.36,0.42,2.24,2.37,1.60,-0.01
2.39,0.42,2.16,2.39,1.66,-0.03
2.22,0.45,2.10,2.44,1.68,-0.04
2.15,0.46,2.49,2.62,1.72,-0.03
2.25,0.45,2.61,2.87,1.73,-0.02
2.30,0.44,2.59,2.98,1.81,-0.01
2.32,0.43,2.56,2.90,1.90,-0.01
2.24,0.45,2.68,2.81,1.87,-0.02
2.19,0.46,2.69,2.77,1.86,-0.03
2.17,0.46,2.71,2.76,1.85,-0.03
2.20,0.45,2.78,2.73,1.84,-0.04
2.27,0.44,2.79,2.65,1.68,-0.05
2.34,0.43,2.79,2.73,1.66,-0.05
2.46,0.41,2.75,2.83,1.65,-0.06
2.52,0.40,2.40,2.67,1.66,-0.08
2.55,0.39,2.48,2.57,1.55,-0.11
2.52,0.40,2.49,2.76,1.52,-0.12
2.56,0.39,2.36,2.86,1.51,-0.11
2.56,0.39,2.26,2.86,1.55,-0.12
2.45,0.41,2.22,2.86,1.61,-0.15
2.37,0.42,2.60,2.81,1.81,-0.16
2.32,0.43,2.58,2.81,1.89,-0.16
2.16,0.46,2.64,2.95,1.93,-0.18
2.08,0.48,2.67,2.90,1.90,-0.20
2.13,0.47,2.88,2.79,1.99,-0.17
2.00,0.50,2.89,2.89,1.95,-0.13
1.90,0.53,2.84,2.81,1.95,-0.12
1.88,0.53,2.87,2.68,1.90,-0.10
1.97,0.51,2.96,2.78,1.84,-0.08
2.02,0.49,3.02,2.96,1.86,-0.06
2.35,0.43,3.02,2.99,1.84,-0.02
2.94,0.34,2.82,3.78,1.63,-0.01
3.17,0.32,2.92,4.31,1.72,-0.01
3.25,0.31,3.01,4.39,1.73,0.00
3.33,0.30,3.07,4.41,1.81,0.00
3.39,0.30,3.30,4.40,1.72,0.00
3.42,0.29,3.33,4.39,1.96,0.00
3.44,0.29,3.50,4.52,2.11,0.00
3.44,0.29,3.53,4.68,2.18,0.00
3.54,0.28,3.46,4.72,2.40,0.00
3.70,0.27,3.58,4.97,2.56,-0.01
3.61,0.28,3.91,5.20,2.66,0.00
3.43,0.29,4.11,5.07,2.89,0.00
3.46,0.29,4.14,5.03,3.43,0.00
3.54,0.28,4.17,5.34,3.62,0.01
3.50,0.29,4.14,5.52,3.67,0.01
3.44,0.29,4.29,5.56,3.68,0.01
3.59,0.28,4.34,5.56,3.70,0.01
3.90,0.26,4.27,5.57,3.71,0.01
4.01,0.25,4.30,5.66,3.74,0.01
3.89,0.26,4.39,5.76,3.75,0.02
3.81,0.26,4.34,5.73,3.74,0.02
3.88,0.26,4.09,5.62,3.72,0.02
3.95,0.25,4.12,5.62,3.50,0.02
