alpha,arousal1,betha,theta,gamma,valence1
2.97,0.337,2.71,3.69,2.29,-0.0188
2.89,0.346,2.86,3.88,2.41,-0.00579
2.85,0.351,2.84,4,2.39,-0.000735
2.86,0.35,2.75,3.99,2.39,-0.000124
2.84,0.352,2.79,4.02,2.4,-0.00429
2.63,0.381,2.77,4.12,2.47,-0.038
2.17,0.462,2.78,4.24,2.37,-0.14
3.02,0.331,3.34,3.63,2.05,-0.0569
3.05,0.328,3.39,3.6,2.03,-0.0568
3.04,0.329,3.25,3.59,1.94,-0.0537
2.98,0.335,3.11,3.63,1.86,-0.0438
3,0.334,3.07,3.61,1.82,-0.0274
3.06,0.327,3.2,3.75,1.87,-0.0283
3.07,0.326,3.19,4.04,1.88,-0.0252
3.12,0.32,3.16,4.13,1.76,-0.0148
3.09,0.324,3.2,4.19,1.83,-0.00503
2.8,0.357,3.2,4.43,1.75,0.0129
2.74,0.365,3.26,4.66,1.93,0.00831
2.94,0.34,3.2,4.89,1.99,-0.00384
2.96,0.338,3.22,5.05,2.13,-0.00322
3.09,0.323,3.27,5.09,2.13,-0.00798
3.25,0.308,3.24,5.08,2.13,-0.0218
3.24,0.308,3.1,5.07,2.12,-0.0337
3.23,0.309,3.11,5.01,2.05,-0.0354
3.21,0.311,3.15,4.86,2.13,-0.0382
3.08,0.325,3.23,4.78,2.15,-0.052
3.08,0.325,3.24,4.7,2.08,-0.0671
3.17,0.315,3.35,4.59,2.2,-0.0666
3.17,0.316,3.18,4.51,2.06,-0.0583
3.15,0.317,3.11,4.14,1.86,-0.0467
3.34,0.299,3.14,3.61,1.98,-0.0299
3.34,0.299,3.12,3.42,2.09,-0.024
3.17,0.315,3.16,3.31,2.19,-0.0169
3.11,0.322,3.18,3.29,2.22,-0.0115
3.12,0.32,3.18,3.38,2.28,-0.00907
3.31,0.302,3.17,3.43,2.42,-0.0107
3.5,0.286,3.07,3.78,2.55,-0.00922
3.52,0.284,3.05,4.05,2.71,-0.00283
3.45,0.29,2.94,4.03,2.66,0.00101
3.39,0.295,2.91,4.06,2.66,0.000767
3.24,0.309,2.89,4.15,2.66,-0.00603
3.04,0.329,2.96,4.17,2.83,-0.0206
3.03,0.33,2.97,4.26,2.82,-0.032
3.03,0.33,2.95,4.31,2.97,-0.0335
3.02,0.331,2.97,4.25,2.97,-0.0351
2.98,0.335,2.98,4.21,2.96,-0.0389
2.63,0.38,3.09,4.17,3.01,-0.0564
2.08,0.48,3.12,3.97,2.94,-0.127
2.04,0.49,3.08,3.69,2.9,-0.141
2.19,0.457,3.07,3.48,3.11,-0.0952
2.18,0.459,3.1,3.28,3.14,-0.103
2.22,0.45,3.22,3.31,3.12,-0.11
2.36,0.423,3.21,3.47,3.06,-0.071
2.56,0.391,3.2,3.5,3.01,-0.0562
2.83,0.353,3.16,3.59,3,-0.0544
3,0.334,3.22,3.84,3.01,-0.0516
3.16,0.316,3.24,4.14,2.83,-0.0455
3.37,0.297,3.13,4.22,2.78,-0.0343
3.54,0.283,3.27,4.2,2.76,-0.0325
3.56,0.281,3.25,4.26,2.7,-0.0398
3.53,0.283,3.29,4.31,2.34,-0.0469
3.53,0.284,3.15,4.41,2.48,-0.0464
3.49,0.286,3.14,4.62,2.47,-0.0464
3.49,0.286,3.17,4.73,2.44,-0.0397
3.56,0.281,3.16,4.66,2.34,-0.0284
3.58,0.279,3.16,4.6,2.23,-0.0235
3.52,0.284,2.97,4.51,2.38,-0.025
3.37,0.296,2.99,4.36,2.47,-0.0279
3.15,0.318,3.09,4.32,2.5,-0.0336
2.98,0.335,3.01,4.35,2.54,-0.0301
2.92,0.342,3.05,4.31,2.67,-0.0212
2.93,0.341,3.03,4.22,2.67,-0.019
2.94,0.34,2.96,4.02,2.62,-0.0183
2.98,0.336,2.91,3.61,2.73,-0.0213
2.8,0.357,3.06,3.35,2.78,-0.0342
2.29,0.436,3.13,3.36,2.81,-0.102
2.07,0.483,3.15,3.57,2.88,-0.153
2.02,0.495,3.17,3.72,2.79,-0.116
1.91,0.525,3.15,3.83,2.78,-0.0944
1.88,0.533,3.07,4.04,2.77,-0.0855
1.87,0.535,3.05,4.25,2.82,-0.0559
1.86,0.537,3,4.31,2.77,-0.0273
2.06,0.485,2.97,4.34,2.68,-0.0254
2.41,0.416,3,4.46,2.58,-0.048
2.5,0.4,2.88,4.49,2.4,-0.0551
2.48,0.403,2.94,4.53,2.37,-0.0569
2.64,0.378,2.93,4.56,2.23,-0.0597
2.67,0.374,3.09,4.48,2.41,-0.0729
2.71,0.369,3.02,4.38,2.43,-0.0621
2.88,0.347,3.13,4.28,2.32,-0.0411
2.95,0.339,3.16,4.09,2.26,-0.0366
3.01,0.332,3.17,4.05,2.09,-0.039
3.13,0.32,3.13,4.33,2.1,-0.0412
3.09,0.324,3.15,4.36,2.14,-0.0377
2.9,0.345,3.19,4.26,2.21,-0.0243
2.83,0.353,3.17,4.26,2.22,-0.014
2.76,0.363,3.12,4.25,2.33,-0.0108
2.63,0.38,2.99,4.3,2.28,0.0105
2.66,0.376,2.95,4.38,2.11,0.0223
2.64,0.379,3.01,4.38,2.17,0.0125
2.49,0.401,2.84,4.38,2.15,0.0129
2.5,0.4,2.78,4.31,2.2,0.00341
2.39,0.418,2.87,4.01,2.25,-0.00326
2.17,0.46,2.83,3.75,2.28,-0.00237
2.11,0.475,3.05,3.8,2.25,-0.0319
2.27,0.44,3.15,4.07,2.18,-0.0274
2.69,0.371,3.21,4.31,2.19,-0.0229
2.79,0.359,3.25,4.33,2.16,-0.0299
2.82,0.354,3.22,4.25,2.13,-0.0203
3.03,0.33,3.15,4.23,2.05,-0.00189
3.2,0.312,3.19,4.22,2.09,0.00554
3.2,0.312,3.47,4.29,2.26,0.00194
3.3,0.303,3.51,4.39,2.18,-0.000104
3.59,0.279,3.24,3.98,2.6,-0.0377
3.4,0.294,3.26,3.93,2.57,-0.0425
3.19,0.314,3.28,3.99,2.7,-0.0473
3.01,0.332,3.32,4.05,2.68,-0.0474
3.03,0.33,3.42,3.98,2.73,-0.0387
2.98,0.336,3.4,4.02,2.74,-0.027
2.99,0.335,3.42,4.06,2.71,-0.0191
2.9,0.345,3.25,4.07,2.74,-0.0219
2.59,0.386,3.2,4.14,2.62,-0.0161
2.32,0.43,3.08,4.22,2.46,0.0106
2.29,0.437,3.06,4.21,2.44,0.0316
2.39,0.419,3.03,4.2,2.33,0.0285
2.39,0.418,3.13,4.24,2.38,0.0262
2.4,0.417,3.08,4.24,2.15,0.0219
2.46,0.406,2.8,4.29,2.17,0.011
2.54,0.394,2.8,4.28,2.2,-0.0114
2.53,0.395,2.76,4.2,2.17,-0.0481
2.56,0.39,2.93,4.19,2.31,-0.0531
2.5,0.4,3.1,4.14,2.3,-0.0448
2.45,0.408,3.12,4.02,2.31,-0.0489
2.4,0.416,3.18,3.89,2.37,-0.0484
2.41,0.415,3.21,3.92,2.4,-0.0426
2.52,0.397,3.17,4.14,2.41,-0.0467
2.58,0.387,3.15,4.33,2.39,-0.0464
2.75,0.364,3.13,4.36,2.3,-0.0356
3.08,0.325,3.15,4.29,2.3,-0.0169
3.29,0.304,3.19,4.25,2.27,-0.00879
3.37,0.297,3.17,4.26,2.15,-0.00696
3.4,0.294,3.18,4.28,2.02,-0.00761
3.41,0.293,3.06,4.27,1.96,-0.00763
3.43,0.291,3.09,4.21,1.85,-0.00831
3.46,0.289,3.08,4.07,1.81,-0.00642
3.44,0.291,3.05,3.77,1.86,-0.00571
3.37,0.297,3.11,3.38,2.02,-0.00857
3.35,0.298,3.26,2.83,2.02,-0.00917
3.16,0.317,3.36,2.46,2.14,-0.0142
2.93,0.342,3.3,2.78,2.12,-0.0309
2.73,0.367,3.31,2.89,2.16,-0.0423
2.53,0.395,3.21,2.88,2.2,-0.046
2.45,0.408,3.07,3.03,2.18,-0.0485
2.43,0.412,2.97,3.25,2.25,-0.0432
2.33,0.43,3.07,3.39,2.27,-0.0415
2.23,0.448,3.09,3.62,2.28,-0.0491
2.32,0.432,3.14,4.02,2.12,-0.0106
2.52,0.396,3.02,4.48,2.08,0.0141
2.63,0.38,2.84,4.69,2.02,0.0117
2.56,0.391,2.8,4.68,1.97,0.0242
2.4,0.416,2.75,4.68,1.86,0.0458
2.44,0.41,2.8,4.69,1.89,0.0389
2.79,0.359,2.95,4.67,2,-0.00826
2.95,0.339,3.02,4.63,1.99,-0.0183
2.97,0.336,3.01,4.57,1.97,-0.0192
2.98,0.336,2.87,4.52,1.98,-0.0171
2.98,0.335,2.79,4.46,1.93,-0.0201
2.98,0.336,2.84,4.19,2.06,-0.0306
2.95,0.339,2.79,3.68,2.12,-0.0343
2.99,0.334,2.87,3.55,2.15,-0.0349
2.98,0.336,2.79,3.79,2.15,-0.0427
3.17,0.316,2.78,3.9,2.21,-0.0351
3.16,0.316,2.74,4.03,2.22,-0.0218
2.97,0.337,2.64,4.36,2.31,-0.01
2.87,0.349,2.77,4.63,2.3,-0.00866
2.88,0.347,2.81,4.73,2.27,-0.0111
2.88,0.347,2.87,4.72,2.27,-0.0119
2.84,0.352,2.96,4.66,2.32,-0.014
2.75,0.363,3.02,4.61,2.25,-0.0238
2.62,0.381,3.06,4.58,2.29,-0.0317
2.59,0.387,3.12,4.52,2.4,-0.0282
2.58,0.388,3.14,4.49,2.48,-0.0278
2.43,0.411,3.19,4.42,2.58,-0.0541
2.29,0.438,3.26,4.25,2.5,-0.086
2.39,0.418,3.22,3.99,2.44,-0.0814
2.37,0.422,3.18,3.63,2.45,-0.0782
2.36,0.424,3.19,3.53,2.42,-0.0895
2.36,0.424,3.16,3.57,2.44,-0.0976
2.39,0.419,3.13,3.55,2.37,-0.0882
2.42,0.413,3.18,3.66,2.37,-0.0676
2.44,0.411,3.05,3.89,2.4,-0.0686
2.35,0.426,3.13,4.04,2.34,-0.0813
2.08,0.482,3.17,4.02,2.19,-0.072
2.13,0.47,3.11,3.99,2.04,-0.0762
2.46,0.406,3.13,3.99,2.12,-0.0726
2.5,0.4,3.16,3.99,2.15,-0.0702
2.63,0.38,3.2,4.04,2.26,-0.0678
2.69,0.372,3.16,4.08,2.31,-0.0653
2.71,0.369,3.18,4.2,2.27,-0.0703
2.67,0.374,3.06,4.27,2.24,-0.0831
2.7,0.37,3.04,4.19,2.15,-0.0758
2.73,0.366,3.02,3.98,2.12,-0.0691
2.73,0.366,2.92,3.86,2.08,-0.0721
2.77,0.361,2.86,3.98,2.08,-0.0672
2.7,0.37,2.85,4.14,2.19,-0.0462
2.69,0.372,2.71,4.32,2.06,-0.0303
2.63,0.38,2.86,4.39,2.04,-0.0241
2.72,0.368,2.83,4.3,1.86,-0.0196
2.96,0.338,2.78,4.2,1.78,-0.0106
3.02,0.331,2.82,4.09,1.77,-0.0101
3.06,0.327,2.88,4.06,1.8,-0.0157
3.04,0.329,2.97,4.06,1.89,-0.02
3.06,0.327,3.04,4.02,1.88,-0.0176
3.26,0.306,3.02,3.97,1.86,-0.00988
3.48,0.287,3.19,3.86,1.87,-0.00713
3.48,0.287,3.15,3.73,1.75,-0.00968
3.44,0.291,3.23,3.47,2.01,-0.00898
3.47,0.288,3.15,3.46,2.1,-0.00748
3.45,0.29,3.1,3.51,2.11,-0.00663
3.33,0.3,3.09,3.55,2.14,-0.00432
3.08,0.325,3.56,4.33,2.8,-0.00612
2.46,0.407,3.56,4.48,2.78,-0.0521
2.24,0.446,3.56,4.63,2.77,-0.0676
2.55,0.393,3.59,4.7,2.77,-0.0287
2.82,0.354,3.66,4.72,2.74,-0.015
2.97,0.336,3.63,4.76,2.67,-0.0155
2.99,0.335,3.7,4.87,2.76,-0.0179
3.1,0.322,3.94,4.97,2.79,-0.016
3.15,0.318,4.02,5.03,2.62,-0.0052
3.14,0.319,4.06,5.13,2.71,-0.00414
3.21,0.311,3.88,5.3,2.77,-0.0185
3.41,0.293,3.88,5.39,2.74,-0.0317
3.54,0.282,3.93,5.34,2.89,-0.0339
3.56,0.281,4.06,5.24,2.9,-0.038
3.53,0.283,4.1,5.23,2.95,-0.0426
3.49,0.286,4.13,5.3,2.9,-0.0453
3.63,0.276,4.12,5.27,2.85,-0.0361
3.63,0.276,4.07,5.16,2.83,-0.0315
3.58,0.279,3.86,5.14,2.9,-0.0363
3.6,0.278,3.74,5.16,2.91,-0.0376
3.59,0.278,3.65,5.06,2.81,-0.0339
3.44,0.291,3.71,4.88,3.11,-0.0251
3.21,0.311,3.65,4.83,3.05,-0.0145
3.11,0.322,3.68,4.87,3.17,-0.0081
2.93,0.342,3.5,4.87,3.34,-0.00342
2.79,0.358,3.46,4.76,3.41,0.00682
2.44,0.41,3.61,4.63,3.52,0.0178
1.95,0.514,3.48,4.64,3.66,0.0199
1.86,0.539,3.75,4.66,3.74,0.0109
1.68,0.596,4.06,4.55,4.04,0.0524
1.88,0.531,4.24,4.36,4.04,0.122
2.62,0.381,4.25,4.28,4.05,0.0481
3.17,0.315,4.37,4.21,3.93,0.0116
3.43,0.292,4.43,4.05,3.91,-0.000551
3.49,0.286,4.38,3.83,3.82,-0.00213
3.47,0.288,4.45,3.72,3.78,-0.00225
3.48,0.287,4.43,3.9,3.63,-0.00961
3.56,0.281,4.36,4.17,3.6,-0.0167
3.62,0.276,4.37,4.35,3.55,-0.0196
3.65,0.274,4.21,4.47,3.14,-0.02
3.65,0.274,3.97,4.48,2.82,-0.0245
3.55,0.282,3.85,4.44,2.93,-0.041
3.41,0.293,3.83,4.43,2.91,-0.0573
3.32,0.301,3.61,4.52,3.02,-0.0523
3.27,0.306,3.6,4.7,2.97,-0.038
3.25,0.308,3.63,4.8,3.01,-0.0375
3.29,0.304,3.38,4.8,2.99,-0.042
3.32,0.301,3.52,4.83,3.12,-0.0443
3.28,0.305,3.61,4.85,3.11,-0.047
3.25,0.308,3.6,4.85,2.97,-0.0501
3.24,0.309,3.6,4.88,2.94,-0.0512
3.25,0.307,3.71,4.92,2.86,-0.0505
3.18,0.314,3.7,4.96,2.78,-0.0442
2.88,0.347,3.74,4.98,2.8,-0.0574
2.56,0.391,3.72,4.99,2.66,-0.125
2.57,0.389,3.69,5.01,2.71,-0.173
2.77,0.361,3.72,5.05,2.79,-0.139
2.66,0.376,3.67,5.05,2.75,-0.12
2.72,0.368,3.63,4.95,2.59,-0.0791
2.96,0.337,3.61,4.76,2.55,-0.0485
3.02,0.331,3.57,4.58,2.55,-0.0391
3.11,0.321,3.43,4.44,2.49,-0.0307
3.11,0.321,3.44,4.41,2.6,-0.0311
3.17,0.315,3.39,4.69,2.64,-0.0289
3.4,0.294,3.33,5,2.62,-0.0156
3.55,0.281,3.33,4.98,2.64,-0.011
3.58,0.279,3.39,4.89,2.49,-0.00746
3.51,0.285,3.41,4.87,2.44,-0.00525
3.58,0.28,3.44,4.86,2.6,-0.00578
3.58,0.28,3.49,4.87,2.62,-0.00661
3.5,0.286,3.57,4.85,2.75,-0.00573
3.45,0.29,3.61,4.86,2.74,-0.0076
3.56,0.281,3.61,5,2.66,-0.0141
3.68,0.272,3.55,5.09,2.64,-0.0136
3.7,0.271,3.61,4.87,2.57,-0.0139
3.61,0.277,3.55,4.61,2.56,-0.0128
3.45,0.29,3.47,4.55,2.53,-0.0152
3.45,0.29,3.42,4.55,2.58,-0.0152
3.47,0.288,3.42,4.52,2.55,-0.0138
3.41,0.293,3.43,4.53,2.39,-0.0118
3.26,0.306,3.27,4.61,2.37,-0.00672
3.24,0.308,3.25,4.78,2.26,-0.0031
3.24,0.309,3.26,4.89,2.27,0.00131
3.12,0.321,3.33,4.78,2.33,0.00444
2.97,0.336,3.35,4.55,2.36,0.00171
2.79,0.358,3.27,4.37,2.39,-0.00641
2.7,0.37,3.31,4.36,2.44,-0.0269
2.65,0.377,3.31,4.42,2.38,-0.0339
2.55,0.393,3.26,4.49,2.34,-0.0388
2.46,0.406,3.2,4.59,2.27,-0.053
2.41,0.416,3.13,4.71,2.36,-0.0858
2.38,0.42,3.08,4.79,2.41,-0.0948
2.33,0.43,3.14,4.72,2.53,-0.0884
2.33,0.43,3.28,4.63,2.59,-0.0475
2.65,0.377,3.18,4.59,2.59,-0.022
2.98,0.336,3.09,4.57,2.6,-0.0164
3.15,0.317,3.08,4.52,2.64,-0.0165
3.26,0.307,3.09,4.46,2.65,-0.0151
3.33,0.3,3.06,4.41,2.73,-0.0131
3.38,0.296,2.99,4.34,2.71,-0.0114
3.39,0.295,3.03,4.17,2.87,-0.00908
3.41,0.293,2.99,3.85,2.76,-0.00831
3.43,0.291,2.78,3.53,2.72,-0.00807
3.49,0.287,2.85,3.39,2.67,-0.0093
3.6,0.278,2.8,3.21,2.66,-0.00685
3.62,0.276,2.91,3.33,2.65,-0.00506
3.57,0.28,2.98,3.36,2.6,-0.00633
3.52,0.284,3.62,4.89,2.64,-0.00458
3.45,0.29,3.62,4.81,2.55,-0.0108
3.34,0.3,3.49,4.48,2.57,-0.0234
3.3,0.303,3.4,4.07,2.52,-0.0334
3.35,0.299,3.46,3.99,2.43,-0.034
3.2,0.313,3.26,3.92,2.29,-0.0359
2.65,0.377,3.01,3.77,2.25,-0.045
2.4,0.417,2.85,3.83,2.15,-0.0437
2.46,0.406,2.81,3.86,1.97,-0.0431
2.41,0.414,2.81,3.76,2,-0.0668
2.36,0.423,2.85,3.78,2.07,-0.0923
2.41,0.415,2.87,4.15,2.02,-0.0823
2.44,0.409,2.88,4.47,1.94,-0.0621
2.44,0.411,2.97,4.58,2.08,-0.0277
2.45,0.408,2.97,4.64,2.12,0.0068
2.52,0.397,2.77,4.68,2.2,0.0258
2.75,0.364,2.97,4.66,2.34,0.017
2.84,0.352,2.99,4.64,2.36,0.0171
2.79,0.358,2.95,4.6,2.52,0.0214
2.7,0.371,3.01,4.56,2.62,0.0206
2.65,0.378,3.26,4.62,2.58,0.0284
2.94,0.341,3.24,4.69,2.59,0.00873
3.11,0.322,3.31,4.6,2.69,-0.0137
3.22,0.31,3.4,4.44,2.72,-0.0277
3.33,0.301,3.4,4.37,2.7,-0.0397
3.29,0.304,3.45,4.44,2.83,-0.0501
3.23,0.309,3.44,4.65,2.73,-0.0565
3.1,0.322,3.29,4.78,2.69,-0.0733
3.04,0.329,3.26,4.84,2.7,-0.0751
3.1,0.323,3.25,4.93,2.49,-0.0641
3.16,0.317,3.23,4.93,2.49,-0.061
3.09,0.324,3.2,4.87,2.51,-0.0734
2.87,0.349,3.11,4.8,2.46,-0.0884
2.64,0.378,3.08,4.71,2.43,-0.0874
2.51,0.399,2.98,4.66,2.46,-0.0416
2.49,0.402,2.9,4.73,2.2,0.00147
2.52,0.397,2.92,4.84,2.22,0.00124
2.51,0.398,2.99,4.84,2.43,0.006
2.55,0.392,3.02,4.76,2.51,0.00625
2.55,0.392,3.29,4.69,2.54,-0.0171
2.41,0.414,3.38,4.69,2.52,-0.0229
2.33,0.428,3.31,4.73,2.51,-0.00125
2.53,0.395,3.27,4.71,2.42,-0.00515
2.92,0.342,3.33,4.69,2.43,-0.0274
3.07,0.325,3.41,4.72,2.5,-0.0363
3.06,0.327,3.61,4.69,2.52,-0.044
3.07,0.326,3.7,4.54,2.5,-0.0472
3.23,0.31,3.76,4.2,2.51,-0.0399
3.32,0.302,3.76,3.89,2.47,-0.0352
3.33,0.301,3.78,3.86,2.36,-0.0354
3.35,0.298,3.67,3.85,2.38,-0.0307
3.58,0.279,3.66,3.71,2.39,-0.0217
3.78,0.264,3.67,3.84,2.4,-0.0198
3.79,0.264,3.67,4.11,2.29,-0.0197
3.85,0.26,3.69,4.19,2.21,-0.0179
3.89,0.257,3.47,4.14,2.11,-0.0137
3.94,0.254,3.31,4.27,2.02,-0.0124
3.91,0.256,3.1,4.49,2.24,-0.0126
3.82,0.262,2.91,4.66,2.09,-0.0137
3.78,0.264,2.91,4.71,2.03,-0.0133
3.83,0.261,2.87,4.7,2.19,-0.0102
3.81,0.263,2.8,4.7,2.14,-0.0112
3.61,0.277,2.84,4.67,2.11,-0.0126
3.47,0.288,2.86,4.52,2.15,-0.011
3.25,0.307,2.73,4.3,2.16,-0.00538
2.97,0.336,2.71,4.22,2.31,-0.00611
2.77,0.361,2.97,4.21,2.37,-0.00853
2.7,0.37,3.05,4.04,2.36,-0.00462
2.71,0.369,3.1,3.76,2.26,0.000449
2.72,0.368,3.14,3.73,2.24,0.00297
2.68,0.373,3.11,4.03,2.31,0.00733
2.61,0.383,3.08,4.15,2.26,0.017
2.46,0.406,3,4.13,2.52,0.0289
2.38,0.42,3.27,4.16,2.57,0.0361
2.41,0.415,3.27,4.17,2.59,0.0397
2.38,0.42,3.33,4.29,2.64,0.0536
2.44,0.411,3.3,4.66,2.5,0.0618
2.65,0.377,3.22,4.94,2.6,0.0416
2.76,0.362,3.15,5.02,2.55,0.0252
2.75,0.364,3.2,4.95,2.58,0.0223
2.81,0.356,3.21,4.84,2.64,0.00677
2.83,0.354,3.22,4.81,2.63,-0.0138
2.82,0.354,3.25,4.82,2.48,-0.0133
2.95,0.338,3.28,4.87,2.41,-0.00782
3,0.333,2.89,4.99,2.57,-0.00865
3.01,0.332,2.93,5.05,2.55,-0.00562
3.3,0.303,2.94,4.95,2.59,-0.00659
3.62,0.276,2.9,4.7,2.56,-0.0127
3.71,0.27,2.88,4.37,2.48,-0.0167
3.77,0.265,2.89,4.29,2.57,-0.0177
3.79,0.264,2.83,4.3,2.66,-0.0176
3.78,0.264,2.83,4.17,2.63,-0.0163
3.76,0.266,2.89,4.07,2.64,-0.0154
3.73,0.268,3.02,4.12,2.72,-0.0184
3.67,0.273,3.04,4.03,2.64,-0.0225
3.66,0.273,3.01,3.71,2.44,-0.0224
3.59,0.279,3,3.63,2.4,-0.0258
3.31,0.302,2.93,3.62,2.4,-0.033
2.98,0.336,2.96,3.55,2.39,-0.0335
2.75,0.364,2.91,3.44,2.42,-0.0131
2.59,0.386,3.01,3.63,2.28,0.0153
2.55,0.393,3,3.88,2.14,0.0331
2.51,0.398,2.97,3.88,2.09,0.0413
2.51,0.399,2.92,3.82,2.04,0.0376
2.51,0.398,2.67,3.94,1.84,0.021
2.54,0.393,2.66,4.13,1.92,0.00615
2.64,0.378,2.7,4.16,1.86,-0.0105
3.09,0.324,3.67,3.53,3.03,0.0732
3.08,0.325,3.61,3.76,3.05,0.0677
2.94,0.34,3.63,3.9,3.03,0.0684
2.83,0.354,3.75,3.9,3.01,0.0847
2.8,0.357,3.72,3.92,3.02,0.104
2.81,0.356,3.35,3.91,2.31,0.111
2.74,0.365,3.15,3.87,2.21,0.102
2.49,0.401,3.17,4.03,2.23,0.104
2.22,0.45,3.18,4.31,2.23,0.146
2.17,0.461,3.09,4.56,2.14,0.165
2.16,0.463,3.01,4.59,2.18,0.134
