alpha,arousal1,betha,theta,gamma,valence1
3.01,0.333,2.72,5.01,1.7,-0.0116
2.71,0.369,2.8,5.01,1.74,0.0155
2.66,0.376,2.77,5.05,1.93,0.0342
2.81,0.356,2.78,5.12,1.89,0.0245
2.84,0.352,2.77,4.97,1.89,0.0239
2.96,0.337,2.82,4.75,1.94,0.0156
2.97,0.337,2.78,4.58,1.91,0.00868
2.93,0.342,2.86,4.43,1.83,0.00564
2.94,0.34,2.85,4.31,1.85,-0.00166
2.99,0.334,2.72,4.25,1.85,-0.0119
3.03,0.33,2.76,4.26,1.98,-0.0181
3.04,0.329,2.86,4.27,2.14,-0.0255
3.03,0.33,2.87,4.2,2.17,-0.0394
3,0.333,2.93,3.96,2.07,-0.0525
2.94,0.34,2.85,3.64,2.06,-0.0485
2.9,0.345,2.87,3.5,2.06,-0.0134
2.76,0.362,2.89,3.49,2.08,0.00364
2.63,0.38,2.82,3.36,2.09,0.02
2.63,0.38,2.76,3.16,2.16,0.0468
2.62,0.382,2.8,3.13,2.17,0.0604
2.59,0.386,2.83,3.08,2.12,0.0736
2.56,0.39,2.76,3.01,1.99,0.0908
2.58,0.388,2.69,2.82,1.91,0.0975
2.62,0.381,2.59,2.48,2,0.105
2.4,0.417,2.68,2.67,2.03,0.152
2.04,0.491,2.68,3.47,1.97,0.144
1.95,0.514,2.65,4.27,1.92,0.0623
2.26,0.443,2.65,4.63,1.88,0.022
2.46,0.406,2.77,4.77,1.88,0.0108
2.46,0.406,2.88,4.83,2.01,-0.00755
2.46,0.407,2.91,4.86,2.04,-0.0185
2.54,0.394,2.9,4.85,2.05,-0.0241
2.67,0.375,2.87,4.88,2.08,-0.0375
2.74,0.365,3.02,4.98,2.18,-0.0532
2.9,0.344,3.1,5.01,2.26,-0.0524
3.13,0.32,3.12,4.96,2.31,-0.0208
3.21,0.312,3.1,4.77,2.5,-0.00245
3.16,0.316,3.13,4.38,2.57,0.0135
3.03,0.33,3.06,4.13,2.6,0.0259
2.99,0.335,3.12,4.29,2.6,0.0352
2.99,0.335,3.13,4.58,2.56,0.0356
2.97,0.337,3.05,4.69,2.61,0.0331
2.88,0.348,3.1,4.74,2.59,0.0458
2.75,0.364,3.08,4.7,2.59,0.0736
2.6,0.385,2.97,4.59,2.54,0.104
2.3,0.435,2.87,4.57,2.47,0.131
2.06,0.484,2.82,4.89,2.39,0.115
2.28,0.439,2.81,5.29,2.32,0.0579
2.45,0.409,2.75,5.49,2.34,0.0428
2.56,0.391,2.68,5.58,2.33,0.0416
2.56,0.39,2.75,5.54,2.23,0.0194
2.64,0.379,2.86,5.43,2.18,0.0177
2.72,0.368,2.86,5.38,2.11,0.0238
2.82,0.355,2.83,5.38,2.08,0.008
2.86,0.349,2.79,5.38,1.92,-0.0037
2.86,0.35,2.73,5.38,1.84,-0.00604
2.84,0.352,2.69,5.29,1.92,-0.004
2.68,0.373,2.84,4.88,1.86,-0.00497
2.53,0.396,3.16,4.19,1.93,-0.00114
2.36,0.424,3.41,3.7,1.79,-0.0095
2.55,0.392,3.45,3.52,1.77,0.00698
2.88,0.348,3.28,3.85,1.78,0.0282
3.13,0.32,3.21,3.99,1.88,0.0282
3.33,0.3,3.24,3.94,1.92,0.0292
3.49,0.287,3.28,3.93,1.89,0.0297
3.6,0.278,3.32,4.01,2.05,0.0281
3.64,0.275,3.33,4.05,2.23,0.0281
3.66,0.273,3.28,4.06,2.25,0.0308
3.68,0.272,3.22,4.1,2.18,0.0329
3.68,0.272,2.91,4.15,2.29,0.0343
3.66,0.273,2.59,4.16,2.38,0.0352
3.56,0.281,2.5,3.97,2.41,0.0363
3.38,0.296,2.63,3.58,2.74,0.0374
3.09,0.324,2.75,3.43,2.7,0.0325
2.84,0.352,2.88,3.52,2.76,0.0396
2.59,0.386,2.99,3.45,2.78,0.075
2.39,0.418,3.02,3.31,2.79,0.0995
2.51,0.399,3.02,3.33,2.66,0.0963
2.64,0.379,2.98,3.35,2.64,0.0946
2.68,0.374,3.07,3.27,2.62,0.0935
2.75,0.364,3.12,3.14,2.56,0.0867
2.87,0.348,3.19,2.98,2.57,0.0785
2.92,0.343,3.2,2.79,2.56,0.0747
2.93,0.342,3.14,2.84,2.3,0.0801
2.95,0.339,3.06,2.85,2.31,0.074
2.84,0.352,3.04,2.73,2.21,0.0557
2.82,0.354,2.93,2.77,2.16,0.0363
2.92,0.342,2.91,3.14,2.16,0.0144
3,0.333,2.92,3.37,2.29,0.00168
3.01,0.332,2.92,3.44,2.29,0.0033
2.98,0.336,2.89,3.63,2.27,0.00179
2.94,0.341,2.87,3.76,2.25,0.00339
2.86,0.349,2.8,3.79,2.24,0.0037
2.85,0.351,2.79,3.78,2.4,0.00106
2.26,0.442,3.12,4.34,2.54,0.0511
2.32,0.431,3.1,4.33,2.49,0.025
2.33,0.429,3.22,4.33,2.53,0.0142
2.43,0.412,3.34,4.36,2.52,0.0265
2.68,0.374,3.25,4.56,2.56,0.0587
2.68,0.373,3.36,4.8,2.66,0.0374
2.57,0.389,3.51,4.8,2.71,0.0198
2.7,0.371,3.55,4.8,2.71,0.015
