lowlevel.average_loudness,lowlevel.barkbands.mean.0,lowlevel.barkbands.mean.1,lowlevel.barkbands.mean.10,lowlevel.barkbands.mean.11,lowlevel.barkbands.mean.12,lowlevel.barkbands.mean.13,lowlevel.barkbands.mean.14,lowlevel.barkbands.mean.15,lowlevel.barkbands.mean.16
0.990684032,0.0000459,0.001611941,0.0000219,0.00159825,0.000095,0.000209375,0.001233484,0.000474085,0.000548462
0.990684032,0.0000629,0.002603793,0.0000259,0.001923417,0.000108159,0.000223997,0.001244193,0.0004846,0.000571936
0.990684032,0.0000663,0.002315677,0.0000231,0.001434436,0.0000958,0.000215459,0.000682004,0.000477787,0.000523967
0.990684032,0.0000665,0.002392239,0.0000226,0.001502252,0.0000981,0.000220605,0.000664521,0.00049711,0.000549409
0.990684032,0.0000675,0.002546318,0.0000307,0.001597191,0.000183748,0.000266531,0.000601804,0.00076711,0.000592909
0.990684032,0.0000716,0.002732887,0.000032,0.001668127,0.000179748,0.000187418,0.000619236,0.000903763,0.000458221
0.990684032,0.0000864,0.004453997,0.0000296,0.001705967,0.000200514,0.000181183,0.000650469,0.001019658,0.000587345
0.990684032,0.000113675,0.004416669,0.0000297,0.001347122,0.000218611,0.000186684,0.000582963,0.00111534,0.000595396
0.990684032,0.000088,0.004400486,0.0000337,0.001404817,0.000227419,0.000403032,0.000569732,0.001182097,0.000572959
0.990684032,0.0000723,0.003780303,0.0000319,0.001208259,0.000280038,0.000511347,0.000464607,0.001220135,0.000472353
0.990684032,0.0000612,0.003507794,0.0000322,0.000861273,0.000315059,0.000485142,0.000389723,0.001163767,0.000349192
0.990684032,0.0000769,0.003964486,0.0000334,0.000757578,0.000342909,0.000476076,0.00038862,0.001185783,0.000322617
0.990684032,0.000107503,0.00392582,0.000038,0.000361315,0.000409713,0.00052455,0.000324027,0.001332483,0.000296944
0.990684032,0.0000977,0.004224628,0.0000667,0.000306399,0.000545232,0.000725277,0.000339965,0.001344799,0.00031001
0.990684032,0.000107797,0.00465406,0.000133029,0.00085235,0.000638809,0.001413495,0.000338196,0.001645989,0.000339002
0.990684032,0.000137806,0.005936764,0.000206519,0.001057459,0.000674067,0.002205478,0.000436537,0.001261046,0.00036447
0.990684032,0.000133993,0.005759928,0.000196266,0.000995857,0.000741648,0.002261515,0.000545172,0.001129157,0.000499377
0.990684032,0.000175899,0.004774108,0.000204514,0.001044907,0.000762889,0.002394567,0.000602683,0.001143127,0.000411736
0.990684032,0.000168016,0.004877565,0.000226322,0.001223692,0.000825212,0.00306458,0.000658591,0.001255707,0.000439055
0.990684032,0.000183156,0.005254859,0.000288488,0.001229852,0.00104557,0.003054837,0.001031693,0.001547072,0.00054257
0.990684032,0.000173534,0.005088244,0.00038079,0.001170614,0.000959344,0.002924869,0.000995278,0.001281396,0.000492209
0.990684032,0.000404535,0.006305509,0.000375882,0.0011402,0.000984143,0.002863099,0.001008723,0.001472543,0.000466551
0.990684032,0.000249519,0.005572997,0.000362887,0.001090133,0.001040507,0.002765937,0.000911471,0.001607596,0.000460481
0.990684032,0.000185038,0.004644696,0.000458765,0.001085163,0.001215273,0.003314811,0.000918973,0.00159625,0.000503593
0.990684032,0.000150862,0.003986354,0.000393763,0.001415454,0.000894791,0.002962285,0.000822122,0.001658214,0.000440459
0.990684032,0.000158506,0.004148331,0.000394603,0.000838335,0.000971941,0.002431499,0.000888233,0.001673943,0.000459069
0.990684032,0.000185058,0.005633468,0.000373714,0.000848154,0.000973117,0.002060577,0.001041936,0.001717987,0.000468711
