alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Agressive
3.21,0.311,3.17,4.02,2.02,0.0479,Agressive,Agressive
3.3,0.303,3.14,4.03,2.02,0.0348,Agressive,Agressive
3.32,0.301,3.09,4.04,1.97,0.0194,Agressive,Agressive
3.32,0.301,3.1,4.05,2.01,0.00754,Agressive,Agressive
3.31,0.302,3.09,4.07,2.07,0.00512,Agressive,Agressive
3.3,0.303,3.1,4.06,1.97,0.00751,Agressive,Agressive
3.34,0.299,3.12,4.07,2.03,0.00864,Agressive,Agressive
3.3,0.303,3.12,4.04,1.99,-0.00157,Agressive,Agressive
3.04,0.329,3.28,4.2,1.88,-0.0283,Agressive,Agressive
2.9,0.345,3.24,4.38,1.87,-0.0473,Agressive,Agressive
2.78,0.36,3.06,4.36,1.84,-0.0535,Agressive,Agressive
2.46,0.406,3.01,4.39,1.83,-0.0726,Agressive,Agressive
2.31,0.433,3,4.47,1.92,-0.042,Agressive,Agressive
2.3,0.434,2.96,4.44,1.93,-0.0101,Agressive,Agressive
2.49,0.402,2.9,4.35,1.85,0.0108,Agressive,Agressive
2.87,0.349,3.11,4.27,2.16,0.0263,Agressive,Agressive
3.12,0.321,3.32,4.33,2.22,0.0319,Agressive,Agressive
3.18,0.315,3.33,4.3,2.06,0.0278,Agressive,Agressive
3.19,0.314,3.21,4.19,2.02,0.0254,Agressive,Agressive
3.25,0.308,3.07,3.91,2.16,0.0302,Agressive,Agressive
3.33,0.3,3.09,3.61,2.2,0.0306,Agressive,Agressive
3.39,0.295,3.16,3.62,2.22,0.0308,Agressive,Agressive
3.38,0.296,3.24,3.49,2.25,0.0224,Agressive,Agressive
3.43,0.292,3.25,3.3,2.21,0.0147,Agressive,Agressive
3.43,0.291,3.26,3.38,2.24,0.0186,Agressive,Agressive
3.38,0.296,3.35,3.59,2.1,0.0216,Agressive,Agressive
3.29,0.304,3.15,3.69,1.89,0.00841,Agressive,Agressive
3.1,0.323,2.93,3.62,1.94,-0.00898,Agressive,Agressive
3.02,0.331,2.95,3.68,1.98,-0.00494,Agressive,Agressive
2.91,0.344,3.06,3.78,2.08,-0.00708,Agressive,Agressive
2.71,0.369,3.25,3.81,2.08,-0.0185,Agressive,Agressive
2.63,0.38,3.24,3.8,2.07,-0.0416,Agressive,Agressive
2.71,0.37,3.23,3.89,2.06,-0.0541,Agressive,Agressive
2.73,0.367,3.04,4.4,1.97,-0.0524,Agressive,Agressive
2.68,0.374,3.08,4.84,2.08,-0.0575,Agressive,Agressive
2.66,0.376,3.08,4.97,2.06,-0.0629,Agressive,Agressive
2.54,0.393,3,5.01,2.07,-0.0759,Agressive,Agressive
2.59,0.386,3.07,5.05,2.1,-0.0965,Agressive,Agressive
2.91,0.344,3.07,5.05,2.04,-0.091,Agressive,Agressive
3.06,0.327,3.06,5.07,2.07,-0.0854,Agressive,Agressive
3.13,0.319,2.93,5.07,1.82,-0.0838,Agressive,Agressive
3.22,0.311,2.63,5.07,1.79,-0.0701,Agressive,Agressive
3.25,0.308,2.7,5.06,1.77,-0.0476,Agressive,Agressive
3.24,0.309,2.81,5,1.72,-0.0287,Agressive,Agressive
3.23,0.31,3.06,4.69,1.74,-0.0276,Agressive,Agressive
3.17,0.316,3.05,4.23,1.63,-0.0332,Agressive,Agressive
3.16,0.316,3.11,3.9,1.68,-0.0411,Agressive,Agressive
3.2,0.312,3.08,3.68,1.58,-0.0353,Agressive,Agressive
3.08,0.324,3.09,3.68,1.56,-0.0229,Agressive,Agressive
2.88,0.347,3.09,3.61,1.52,-0.0138,Agressive,Agressive
2.71,0.369,3.15,3.78,1.65,-0.0168,Agressive,Agressive
2.69,0.372,3.3,4.06,1.94,-0.0189,Agressive,Agressive
2.77,0.362,3.41,4.12,1.96,-0.0353,Agressive,Agressive
3.19,0.314,2.9,4.69,1.77,0.00445,Agressive,Agressive
3.27,0.306,3.13,4.61,1.87,0.0155,Agressive,Agressive
3.37,0.296,3.19,4.58,1.87,0.011,Agressive,Agressive
3.41,0.294,3.17,4.5,1.78,-0.0135,Agressive,Agressive
3.44,0.291,3.31,4.18,1.86,-0.0319,Agressive,Agressive
3.41,0.293,3.5,4.02,1.85,-0.0313,Agressive,Agressive
3.46,0.289,3.52,4.21,1.84,-0.0298,Agressive,Agressive
3.6,0.277,3.47,4.24,1.85,-0.0305,Agressive,Agressive
3.72,0.269,3.56,4.23,2.13,-0.0277,Agressive,Agressive
3.74,0.267,3.52,4.35,2.11,-0.022,Agressive,Agressive
3.79,0.264,3.49,4.47,2.06,-0.0182,Agressive,Agressive
3.83,0.261,3.3,4.47,1.91,-0.0167,Agressive,Agressive
3.79,0.264,3.23,4.51,1.88,-0.018,Agressive,Agressive
3.75,0.267,3.12,4.59,1.9,-0.0132,Agressive,Agressive
3.74,0.268,3.13,4.61,1.99,-0.00206,Agressive,Agressive
3.79,0.264,3.06,4.62,2.1,-0.00179,Agressive,Agressive
3.84,0.261,3.01,4.49,2.21,-0.00944,Agressive,Agressive
3.83,0.261,3.1,4.32,2.18,-0.00751,Agressive,Agressive
3.73,0.268,3.11,4.24,2.2,-0.0059,Agressive,Agressive
3.65,0.274,3.11,4.23,1.97,-0.00696,Agressive,Agressive
3.69,0.271,3.17,4.07,2.1,-0.000304,Agressive,Agressive
3.68,0.272,3.23,3.85,2.13,0.00406,Agressive,Agressive
3.62,0.276,3.25,3.65,2.15,0.00296,Agressive,Agressive
3.57,0.28,3.21,3.28,2.32,-0.00193,Agressive,Agressive
3.53,0.283,3.22,2.86,2.3,-0.00789,Agressive,Agressive
3.46,0.289,3.28,3.38,2.27,-0.0114,Agressive,Agressive
3.34,0.299,3.22,3.98,2.04,-0.00605,Agressive,Agressive
3.17,0.316,3.17,4.17,2.09,0.00602,Agressive,Agressive
3.03,0.33,3.13,4.21,2.1,0.00379,Agressive,Agressive
3.03,0.33,3.04,4.33,2.01,-0.000157,Agressive,Agressive
2.98,0.335,2.94,4.49,1.93,0.00512,Agressive,Agressive
2.61,0.382,3.02,4.58,1.96,-0.0153,Agressive,Agressive
2.34,0.427,3.17,4.59,1.92,-0.0677,Agressive,Agressive
2.55,0.392,3.43,4.64,1.95,-0.0278,Agressive,Agressive
2.61,0.384,3.42,4.68,1.65,-0.00961,Agressive,Agressive
2.65,0.377,3.42,4.64,1.67,0.00791,Agressive,Agressive
2.74,0.365,3.34,4.44,1.69,0.047,Agressive,Agressive
2.94,0.34,3.31,4.14,1.63,0.0507,Agressive,Agressive
3.08,0.325,3.3,4.07,1.58,0.0376,Agressive,Agressive
3.12,0.32,3.4,4.08,1.69,0.0343,Agressive,Agressive
3.07,0.326,3.49,3.88,1.74,0.0335,Agressive,Agressive
3,0.334,3.51,3.53,1.67,0.0449,Agressive,Agressive
2.94,0.34,3.42,3.4,1.53,0.0684,Agressive,Agressive
2.91,0.344,3.31,3.75,1.83,0.0666,Agressive,Agressive
3.03,0.33,3.38,4.37,2.51,0.032,Agressive,Agressive
3.4,0.294,4.51,4.66,4,0.00711,Agressive,Agressive
3.41,0.294,4.98,4.76,4.53,-0.000414,Agressive,Agressive
3.39,0.295,5.28,5.27,4.63,0.0102,Agressive,Agressive
3.44,0.29,6.51,7.58,4.75,-0.006,Agressive,Agressive
3.87,0.258,6.62,9.12,4.75,-0.018,Agressive,Agressive
5.31,0.188,6.62,9.81,4.74,-0.00867,Agressive,Agressive
5.82,0.172,6.62,10,4.74,-0.00627,Agressive,Agressive
5.88,0.17,6.61,10.1,4.74,-0.00619,Agressive,Agressive
5.9,0.169,6.61,10.1,4.73,-0.00613,Agressive,Agressive
5.92,0.169,6.61,10.2,4.72,-0.00607,Agressive,Agressive
5.9,0.169,6.58,10.2,4.61,-0.00612,Agressive,Agressive
5.88,0.17,6.47,10.2,4.08,-0.006,Agressive,Agressive
5.88,0.17,6.36,10.2,3.08,-0.00625,Agressive,Agressive
5.87,0.17,6.11,10.2,2.07,-0.00669,Agressive,Agressive
5.86,0.171,3.95,10.1,0.295,-0.00618,Agressive,Agressive
5.64,0.177,1.59,9.76,0.47,-0.0064,Agressive,Agressive
4.78,0.209,1.13,8.99,0.939,-0.00982,Agressive,Agressive
3.52,0.284,1.52,8.13,1.26,-0.0129,Agressive,Agressive
2.89,0.346,1.87,7.58,1.8,-0.0212,Agressive,Agressive
2.42,0.413,2.19,7.07,2.22,-0.0389,Agressive,Agressive
1.71,0.586,2.77,6.42,2.36,-0.138,Agressive,Agressive
1.82,0.549,2.97,5.69,2.73,-0.148,Agressive,Agressive
2.11,0.474,3,5.52,2.74,-0.127,Agressive,Agressive
2.36,0.424,3.04,5.59,2.8,-0.142,Agressive,Agressive
2.9,0.345,3.11,5.44,2.8,-0.0754,Agressive,Agressive
3.17,0.316,3.16,5.44,2.8,-0.0423,Agressive,Agressive
3.31,0.302,3.19,5.51,2.77,-0.0329,Agressive,Agressive
3.33,0.3,3.25,5.51,2.75,-0.0331,Agressive,Agressive
3.34,0.299,3.3,5.52,2.75,-0.034,Agressive,Agressive
3.34,0.3,3.28,5.55,2.59,-0.0326,Agressive,Agressive
3.32,0.301,3.28,5.55,2.5,-0.03,Agressive,Agressive
3.3,0.303,3.04,5.54,2.32,-0.0235,Agressive,Agressive
3.26,0.306,2.91,5.48,2,-0.0179,Agressive,Agressive
3.18,0.314,2.96,4.99,1.99,-0.00539,Agressive,Agressive
2.99,0.334,2.95,4.44,2.01,0.02,Agressive,Agressive
2.81,0.356,2.98,4.34,2.07,0.0628,Agressive,Agressive
2.71,0.369,2.9,3.81,2.07,0.12,Agressive,Agressive
2.93,0.341,2.94,3.33,2.12,0.116,Agressive,Agressive
3.07,0.326,2.71,3.3,2.07,0.0953,Agressive,Agressive
3.1,0.323,2.68,3.15,2,0.0734,Agressive,Agressive
3.11,0.321,2.62,3.15,1.97,0.061,Agressive,Agressive
3.17,0.316,2.67,3.21,1.9,0.0589,Agressive,Agressive
3.23,0.31,2.94,3.15,1.99,0.0577,Agressive,Agressive
3.22,0.311,2.97,3.08,1.97,0.0617,Agressive,Agressive
3.32,0.301,3.05,3.67,2.02,0.0625,Agressive,Agressive
3.45,0.29,3.02,4.46,1.91,0.0532,Agressive,Agressive
3.39,0.295,3.1,4.83,1.88,0.0413,Agressive,Agressive
3.21,0.312,3.16,4.97,1.93,0.026,Agressive,Agressive
2.95,0.339,3.2,4.98,1.91,0.0172,Agressive,Agressive
2.83,0.353,3.37,5,2.03,0.0204,Agressive,Agressive
2.99,0.334,3.38,5.01,2.01,0.0198,Agressive,Agressive
3.29,0.304,3.39,4.99,2.04,0.0066,Agressive,Agressive
3.37,0.297,3.34,5,1.89,-0.00577,Agressive,Agressive
3.3,0.303,3.16,5.02,2.09,-0.0147,Agressive,Agressive
3.28,0.305,3.37,5,2.11,-0.0203,Agressive,Agressive
3.14,0.318,3.42,4.8,2.14,-0.0343,Agressive,Agressive
3.03,0.331,3.62,4.3,2.18,-0.0514,Agressive,Agressive
2.98,0.335,3.65,3.71,2.2,-0.0525,Agressive,Agressive
3.04,0.329,3.78,3.59,2.23,-0.0279,Agressive,Agressive
3.29,0.304,3.64,4.16,2.15,-0.00737,Agressive,Agressive
3.4,0.294,3.65,4.56,2.24,-0.00252,Agressive,Agressive
3.22,0.311,3.66,4.71,2.37,0.00241,Agressive,Agressive
2.78,0.359,2.95,4.46,2.31,-0.0124,Agressive,Agressive
2.8,0.357,3,4.74,2.29,-0.00469,Agressive,Agressive
2.91,0.344,2.96,4.91,2.28,0.00177,Agressive,Agressive
2.93,0.341,3.11,4.94,2.29,0.00431,Agressive,Agressive
2.89,0.346,3.16,4.91,2.34,0.000821,Agressive,Agressive
2.79,0.358,3.09,5.04,2.52,0.00349,Agressive,Agressive
2.75,0.364,3.31,5.23,2.53,0.0189,Agressive,Agressive
2.91,0.344,3.32,5.2,2.36,0.00546,Agressive,Agressive
2.95,0.339,3.19,5.09,2.31,-0.0145,Agressive,Agressive
2.9,0.345,3.2,5.03,2.34,-0.00197,Agressive,Agressive
2.96,0.338,3.21,5.07,2.3,0.00807,Agressive,Agressive
2.98,0.335,3.14,5.08,2.28,0.0129,Agressive,Agressive
2.94,0.34,3.16,4.97,2.28,0.0126,Agressive,Agressive
2.93,0.342,3.27,4.9,2.34,-0.00254,Agressive,Agressive
2.97,0.336,3.65,4.88,2.39,-0.00574,Agressive,Agressive
3.01,0.332,3.74,4.81,2.32,-0.012,Agressive,Agressive
3.13,0.32,3.73,4.57,2.04,-0.0218,Agressive,Agressive
3.18,0.314,3.63,4.27,2.02,-0.0371,Agressive,Agressive
3.11,0.322,3.58,4.27,1.99,-0.0372,Agressive,Agressive
3.09,0.324,3.62,4.43,1.89,-0.0391,Agressive,Agressive
3.05,0.328,3.59,4.6,1.78,-0.0407,Agressive,Agressive
3.27,0.306,3.8,4.56,2.05,-0.0185,Agressive,Agressive
3.57,0.28,3.79,4.43,2.16,-0.0166,Agressive,Agressive
3.75,0.267,3.8,4.39,2.21,-0.0192,Agressive,Agressive
3.87,0.259,3.58,4.38,2,-0.0171,Agressive,Agressive
3.94,0.254,3.31,4.41,1.96,-0.0102,Agressive,Agressive
3.92,0.255,3.14,4.35,2.05,-0.00697,Agressive,Agressive
3.85,0.26,3.3,4.35,2.1,-0.00528,Agressive,Agressive
3.78,0.264,3.53,4.38,2.3,0.00648,Agressive,Agressive
3.76,0.266,3.65,4.41,2.33,0.0119,Agressive,Agressive
3.77,0.265,3.63,4.47,2.43,0.0149,Agressive,Agressive
3.79,0.264,3.63,4.42,2.41,0.0215,Agressive,Agressive
3.73,0.268,3.43,4.6,2.27,0.0333,Agressive,Agressive
3.48,0.287,3.42,4.7,2.27,0.0574,Agressive,Agressive
3.19,0.313,3.38,4.65,2.22,0.0934,Agressive,Agressive
2.97,0.337,3.38,4.6,2.26,0.115,Agressive,Agressive
2.85,0.351,3.56,4.57,2.43,0.102,Agressive,Agressive
2.87,0.348,3.51,4.61,2.39,0.0784,Agressive,Agressive
2.93,0.342,3.43,4.65,2.35,0.0664,Agressive,Agressive
2.91,0.343,3.01,4.59,2.16,0.0578,Agressive,Agressive
2.96,0.338,2.96,4.34,2.23,0.0478,Agressive,Agressive
2.93,0.342,3.04,4.17,2.08,0.0273,Agressive,Agressive
2.65,0.377,3.08,4.13,2.04,-0.0284,Agressive,Agressive
2.53,0.396,3.18,3.86,2.08,-0.114,Agressive,Agressive
2.61,0.384,3.3,3.59,2.02,-0.125,Agressive,Agressive
2.83,0.354,3.34,3.53,2.07,-0.0606,Agressive,Agressive
2.95,0.339,3.3,3.58,1.82,-0.0291,Agressive,Agressive
2.98,0.336,3.14,3.75,1.79,-0.0223,Agressive,Agressive
2.94,0.341,3.15,3.94,1.86,-0.0222,Agressive,Agressive
2.97,0.337,3.18,4.05,2.07,-0.0423,Agressive,Agressive
3.16,0.316,3.15,4.15,2.06,-0.0578,Agressive,Agressive
3.3,0.303,3.23,4.2,1.96,-0.0464,Agressive,Agressive
3.34,0.299,3.32,4.18,1.94,-0.036,Agressive,Agressive
3.36,0.298,3.26,4.13,2.06,-0.0323,Agressive,Agressive
3.33,0.3,3.22,4.08,2.02,-0.0317,Agressive,Agressive
3.32,0.301,3.23,4.08,1.97,-0.0367,Agressive,Agressive
3.44,0.291,3.15,4.08,2.02,-0.0562,Agressive,Agressive
3.63,0.276,3.15,4.09,1.99,-0.0699,Agressive,Agressive
3.75,0.267,3.1,3.95,1.88,-0.0711,Agressive,Agressive
3.81,0.263,3.11,3.81,2.29,-0.0691,Agressive,Agressive
3.79,0.264,3.14,3.7,2.46,-0.0677,Agressive,Agressive
3.72,0.269,3.19,3.77,2.79,-0.0737,Agressive,Agressive
3.7,0.27,3.28,4.44,2.8,-0.0861,Agressive,Agressive
3.74,0.267,3.28,4.96,2.81,-0.0921,Agressive,Agressive
3.76,0.266,3.48,5.13,2.77,-0.0802,Agressive,Agressive
3.74,0.267,3.48,5.13,2.77,-0.0712,Agressive,Agressive
3.63,0.275,3.46,5.17,2.76,-0.0722,Agressive,Agressive
3.44,0.291,3.53,5.18,2.75,-0.079,Agressive,Agressive
3.27,0.306,3.8,5.14,2.83,-0.0825,Agressive,Agressive
3.3,0.303,3.84,5.11,2.82,-0.0797,Agressive,Agressive
3.35,0.298,3.8,5.13,2.49,-0.071,Agressive,Agressive
3.32,0.302,3.77,5.17,1.98,-0.0655,Agressive,Agressive
3.28,0.305,3.75,5.1,1.75,-0.0646,Agressive,Agressive
3.16,0.317,3.73,4.8,1.76,-0.0553,Agressive,Agressive
3.02,0.331,3.58,4.27,1.73,-0.0482,Agressive,Agressive
3.02,0.332,3.48,4.04,1.73,-0.0631,Agressive,Agressive
3,0.334,3.5,4.14,2,-0.0859,Agressive,Agressive
3.01,0.333,3.65,4.08,2.33,-0.0907,Agressive,Agressive
3.01,0.333,3.61,4.07,2.31,-0.0736,Agressive,Agressive
2.81,0.356,3.25,4.11,2.24,-0.0264,Agressive,Agressive
2.34,0.428,3.32,4.26,2.24,0.0414,Agressive,Agressive
2.25,0.445,3.35,4.29,2.23,0.0471,Agressive,Agressive
2.68,0.374,3.34,4.18,2.25,0.0106,Agressive,Agressive
2.96,0.338,3.31,4.19,2.24,-0.0211,Agressive,Agressive
3.1,0.323,3.22,4.18,2.33,-0.0454,Agressive,Agressive
3.13,0.319,3.72,4.06,2.55,-0.0517,Agressive,Agressive
3.15,0.318,3.73,3.89,2.55,-0.0475,Agressive,Agressive
3.23,0.309,3.58,3.81,2.24,-0.0383,Agressive,Agressive
3.4,0.294,3.46,3.74,2.24,-0.0327,Agressive,Agressive
3.53,0.283,3.52,3.81,2.26,-0.0281,Agressive,Agressive
3.67,0.273,3.5,3.93,2.28,-0.0168,Agressive,Agressive
3.73,0.268,3.44,3.79,2.31,-0.00908,Agressive,Agressive
3.68,0.272,3.48,3.75,2.33,-0.00805,Agressive,Agressive
3.52,0.284,3.65,4.07,2.7,-0.00349,Agressive,Agressive
3.39,0.295,3.86,4.33,2.77,0.0248,Agressive,Agressive
3.55,0.282,3.82,4.48,2.6,0.036,Agressive,Agressive
3.69,0.271,3.52,4.58,2.57,0.0177,Agressive,Agressive
3.68,0.271,3.51,4.65,2.62,0.0125,Agressive,Agressive
3.65,0.274,3.6,4.68,2.59,0.0228,Agressive,Agressive
3.57,0.28,3.62,4.66,2.57,0.0394,Agressive,Agressive
3.5,0.286,3.6,4.58,2.57,0.0541,Agressive,Agressive
3.43,0.291,3.63,4.52,2.55,0.0579,Agressive,Agressive
3.39,0.295,3.8,4.5,2.65,0.0569,Agressive,Agressive
3.4,0.294,3.75,4.44,2.7,0.0592,Agressive,Agressive
3.41,0.293,3.58,4.26,2.2,0.0604,Agressive,Agressive
3.28,0.305,3.29,4.04,2.23,0.0581,Agressive,Calm
3.33,0.3,2.89,3.98,2.35,-0.0587,Calm,Calm
3.37,0.297,2.9,4.31,2.45,-0.0438,Calm,Calm
3.37,0.297,2.86,4.4,2.48,-0.0418,Calm,Calm
3.35,0.299,2.85,4.47,2.45,-0.0454,Calm,Calm
3.3,0.303,3.27,4.53,2.33,-0.0421,Calm,Calm
3.14,0.319,3.41,4.52,2.28,-0.0385,Calm,Calm
3.1,0.323,3.47,4.61,2.32,-0.039,Calm,Calm
3.12,0.321,3.42,4.63,2.31,-0.0276,Calm,Calm
3.27,0.306,3.58,4.56,2.3,-0.00701,Calm,Calm
3.24,0.309,3.59,4.52,2.26,-0.000268,Calm,Calm
3.33,0.3,3.55,4.55,2.21,-0.00624,Calm,Calm
3.38,0.296,3.55,4.39,2.03,-0.0119,Calm,Calm
3.26,0.307,3.59,4.15,1.87,-0.0122,Calm,Calm
3.27,0.306,3.57,4.1,1.86,-0.0223,Calm,Calm
3.24,0.309,3.56,3.98,1.89,-0.0272,Calm,Calm
3.26,0.307,3.29,3.97,1.83,-0.0181,Calm,Calm
3.23,0.31,3.34,4.06,1.84,0.00121,Calm,Calm
3.31,0.302,3.27,4.1,1.7,0.012,Calm,Calm
3.24,0.308,3.28,4.11,1.67,0.0122,Calm,Calm
3.12,0.32,3.03,4.07,1.65,0.00606,Calm,Calm
3.1,0.322,3.13,3.88,1.69,0.00307,Calm,Calm
2.97,0.337,3.15,3.77,1.68,0.00888,Calm,Calm
3.03,0.33,3.2,3.77,1.87,0.0153,Calm,Calm
3.29,0.304,3.25,3.64,1.9,0.0245,Calm,Calm
3.38,0.296,3.28,3.58,1.92,0.038,Calm,Calm
3.39,0.295,3.25,3.65,1.8,0.0432,Calm,Calm
3.37,0.297,2.99,3.57,1.67,0.0382,Calm,Calm
3.31,0.302,2.89,3.21,1.7,0.035,Calm,Calm
3.25,0.308,2.93,2.94,1.81,0.0313,Calm,Calm
3.3,0.303,2.99,2.97,1.95,0.0276,Calm,Calm
3.39,0.295,3.08,3.02,1.95,0.0227,Calm,Calm
3.46,0.289,2.97,3.04,1.94,0.0171,Calm,Calm
3.4,0.294,3.11,3.04,1.92,0.0178,Calm,Calm
3.19,0.314,3.08,3.1,1.85,0.0181,Calm,Calm
3.22,0.31,3.05,3.05,1.78,0.014,Calm,Calm
3.44,0.291,3.16,3.05,1.77,0.00622,Calm,Calm
3.53,0.283,3.15,2.98,1.76,0.00106,Calm,Calm
3.53,0.283,3.34,2.97,2.09,-0.000046,Calm,Calm
3.56,0.281,3.33,3.04,2.03,-0.00279,Calm,Calm
3.59,0.278,3.26,3.17,1.96,-0.0101,Calm,Calm
3.54,0.283,3.2,3.27,1.9,-0.0136,Calm,Calm
3.46,0.289,3.21,3.23,1.99,-0.0103,Calm,Calm
3.48,0.288,3.15,3.29,2.05,-0.00188,Calm,Calm
3.57,0.28,3.01,3.75,2.01,0.00908,Calm,Calm
3.55,0.281,3,4.08,2.06,0.0186,Calm,Calm
3.33,0.301,3.18,4.14,2.1,0.0229,Calm,Calm
3.06,0.327,3.08,4.32,2.09,0.0234,Calm,Calm
2.98,0.336,3.07,4.41,2.02,0.0291,Calm,Calm
3.02,0.331,2.89,4.43,1.75,0.0476,Calm,Calm
2.96,0.338,2.93,4.56,1.76,0.0789,Calm,Calm
2.98,0.336,2.94,4.79,1.75,0.0948,Calm,Calm
3.22,0.311,2.99,4.95,1.7,0.0691,Calm,Calm
3.36,0.297,2.97,5.04,1.59,0.0499,Calm,Calm
3.3,0.303,3.02,5.12,1.66,0.0467,Calm,Calm
3.14,0.318,3.07,5.1,1.86,0.0388,Calm,Calm
3.11,0.322,3.2,5.09,1.82,0.0311,Calm,Calm
3.04,0.329,3.13,5.08,1.81,0.0457,Calm,Calm
3.05,0.328,3.09,5.05,1.8,0.073,Calm,Calm
3.1,0.322,3.08,5.09,1.82,0.0798,Calm,Calm
3.07,0.325,3.17,5.1,2.02,0.0587,Calm,Calm
3.02,0.331,3.19,4.96,2.11,0.0433,Calm,Calm
2.9,0.345,3.4,4.71,2.44,0.0516,Calm,Calm
2.56,0.391,3.36,4.6,2.43,0.0992,Calm,Calm
2.22,0.45,3.36,4.54,2.39,0.206,Calm,Calm
2.21,0.453,3.35,4.33,2.4,0.215,Calm,Calm
2.33,0.43,3.26,4.08,2.25,0.137,Calm,Calm
2.41,0.416,3.12,4.02,2.29,0.0881,Calm,Calm
2.39,0.419,3.08,3.9,2.3,0.0398,Calm,Calm
2.39,0.419,3.14,3.59,2.3,-0.01,Calm,Calm
2.37,0.421,3.29,3.26,2.34,-0.0288,Calm,Calm
2.52,0.398,3.23,3.21,2.28,-0.0235,Calm,Calm
2.7,0.37,3.33,3.33,1.95,-0.0382,Calm,Calm
2.76,0.363,3.18,3.35,1.82,-0.0557,Calm,Calm
2.8,0.357,3.18,3.32,1.82,-0.0526,Calm,Calm
2.92,0.343,3.17,3.42,1.72,-0.0562,Calm,Calm
2.98,0.336,3.19,3.49,1.69,-0.066,Calm,Calm
2.96,0.338,3.21,3.45,1.65,-0.0715,Calm,Calm
2.99,0.335,3.25,3.47,1.79,-0.0707,Calm,Calm
