alpha,arousal1,beta,theta,gamma,valence1,Stimuli (Audio),Response
3.029,0.33,4.126,4.588,2.59,0.069,Calm,Calm
3.087,0.324,4.151,4.561,2.596,0.061,Calm,Calm
3.079,0.325,4.182,4.533,2.542,0.057,Calm,Calm
2.977,0.336,4.185,4.475,2.598,0.057,Calm,Calm
2.999,0.333,4.168,4.45,2.63,0.046,Calm,Calm
3.391,0.295,4.282,4.467,2.672,0.016,Calm,Calm
3.871,0.258,4.341,4.307,2.65,-0.009,Calm,Calm
4.229,0.236,4.312,3.978,2.533,-0.02,Calm,Calm
4.414,0.227,4.301,3.803,2.371,-0.023,Calm,Calm
4.447,0.225,4.337,3.822,2.254,-0.026,Calm,Calm
4.438,0.225,4.339,3.813,2.241,-0.031,Calm,Calm
4.473,0.224,4.232,3.588,2.211,-0.034,Calm,Calm
4.518,0.221,4.178,3.444,2.297,-0.032,Calm,Calm
4.533,0.221,4.181,3.519,2.303,-0.032,Calm,Calm
4.523,0.221,4.239,3.617,2.194,-0.035,Calm,Calm
4.465,0.224,4.178,3.724,2.143,-0.039,Calm,Calm
4.344,0.23,4.1,3.688,2.017,-0.041,Calm,Calm
4.091,0.244,3.952,3.739,1.962,-0.045,Calm,Calm
3.644,0.274,3.89,3.838,1.883,-0.043,Calm,Calm
3.288,0.304,3.835,3.891,1.867,-0.026,Calm,Calm
3.172,0.315,3.853,3.818,1.887,-0.026,Calm,Calm
3.044,0.328,3.821,3.761,1.988,-0.034,Calm,Calm
2.767,0.361,3.727,3.785,2.01,-0.041,Calm,Calm
2.592,0.386,3.73,3.741,2.069,-0.041,Calm,Calm
2.745,0.364,3.903,3.734,2.311,-0.035,Calm,Calm
2.975,0.336,3.847,3.768,2.377,-0.032,Calm,Calm
3.15,0.317,3.94,3.668,2.472,-0.021,Calm,Calm
3.394,0.295,4.061,3.559,2.511,0.003,Calm,Calm
3.557,0.281,4.187,3.723,2.529,0.013,Calm,Calm
3.56,0.281,4.227,3.785,2.569,0.013,Calm,Calm
3.539,0.283,4.254,3.729,2.615,0.006,Calm,Calm
3.601,0.278,4.299,3.802,2.52,0.005,Calm,Calm
3.641,0.275,4.213,3.88,2.44,0.007,Calm,Calm
3.631,0.275,4.229,3.873,2.396,0.005,Calm,Calm
3.598,0.278,4.166,3.78,2.321,0.005,Calm,Calm
3.516,0.284,4.032,3.763,2.311,0.008,Calm,Calm
3.427,0.292,3.961,3.678,2.326,0.007,Calm,Calm
3.27,0.306,4.142,3.59,2.37,0.004,Calm,Calm
3.004,0.333,4.307,3.484,2.43,-0.011,Calm,Calm
2.92,0.342,3.665,4.567,1.717,-0.036,Sad,Calm
3.102,0.322,3.804,4.607,1.854,0.004,Sad,Calm
3.122,0.32,3.743,4.54,1.947,0.007,Sad,Calm
3.162,0.316,3.751,4.378,1.95,0.003,Sad,Calm
3.176,0.315,3.652,4.33,1.877,0,Sad,Calm
3.254,0.307,3.715,4.42,1.809,0.009,Sad,Calm
3.394,0.295,3.697,4.483,1.817,0.014,Sad,Calm
3.416,0.293,3.727,4.503,1.859,0.014,Sad,Calm
3.374,0.296,3.674,4.498,2.043,0.017,Sad,Calm
3.36,0.298,3.787,4.496,2.03,0.019,Sad,Calm
3.328,0.3,3.799,4.487,2.026,0.02,Sad,Calm
3.199,0.313,3.713,4.622,2.142,0.006,Sad,Calm
3.265,0.306,3.726,4.896,2.039,-0.012,Sad,Calm
3.356,0.298,4.131,5.023,1.996,-0.017,Sad,Calm
3.347,0.299,4.284,4.985,2.02,-0.018,Sad,Calm
3.433,0.291,4.344,4.931,2.091,-0.024,Sad,Calm
3.493,0.286,4.29,4.916,2.261,-0.034,Sad,Calm
3.476,0.288,4.296,4.893,2.271,-0.04,Sad,Calm
3.432,0.291,4.326,4.909,2.285,-0.04,Sad,Calm
3.457,0.289,4.42,4.992,2.208,-0.049,Sad,Calm
3.493,0.286,4.351,4.99,2.198,-0.064,Sad,Calm
3.482,0.287,4.458,4.875,2.548,-0.062,Sad,Calm
3.572,0.28,4.778,4.607,2.449,-0.043,Sad,Calm
3.572,0.28,4.788,4.196,2.452,-0.025,Sad,Calm
3.602,0.278,4.707,3.851,2.493,-0.013,Sad,Calm
3.666,0.273,4.645,3.822,2.5,-0.006,Sad,Calm
3.619,0.276,4.633,3.783,2.41,-0.001,Sad,Calm
3.495,0.286,4.654,3.647,2.323,0.003,Sad,Calm
3.443,0.29,4.606,3.586,2.291,0.003,Sad,Calm
3.428,0.292,4.56,3.547,2.339,0.006,Sad,Calm
3.323,0.301,4.5,3.522,2.395,0.025,Sad,Calm
3.42,0.292,4.433,3.5,2.406,0.033,Sad,Calm
3.515,0.284,4.073,3.403,1.973,0.027,Sad,Calm
3.338,0.3,3.817,3.342,1.961,0.025,Sad,Calm
3.19,0.313,3.547,3.277,1.885,0.028,Sad,Calm
3.098,0.323,3.149,3.271,1.869,0.038,Sad,Calm
2.996,0.334,3.053,3.335,1.779,0.034,Sad,Calm
2.999,0.333,3.035,3.415,1.815,0.017,Sad,Calm
3.092,0.323,3.062,3.462,1.761,0.011,Sad,Calm
3.099,0.323,3.117,3.524,1.724,0.011,Sad,Calm
3.089,0.324,3.144,3.53,1.536,0.014,Sad,Calm
3.08,0.325,3.235,3.53,1.382,0.021,Sad,Calm
2.873,0.348,3.473,3.561,1.535,0.033,Sad,Calm
2.841,0.352,3.955,3.703,1.814,0.016,Sad,Calm
2.99,0.334,4.012,3.886,1.785,-0.024,Sad,Calm
3.033,0.33,4.017,3.966,1.809,-0.057,Sad,Calm
3.04,0.329,4.022,3.994,1.823,-0.068,Sad,Calm
2.973,0.336,4.049,3.982,1.782,-0.065,Sad,Calm
2.877,0.348,4.036,4.089,1.739,-0.069,Sad,Calm
2.913,0.343,4.004,4.205,1.907,-0.078,Sad,Calm
2.934,0.341,3.991,4.249,1.973,-0.084,Sad,Calm
2.904,0.344,3.985,4.324,2.103,-0.095,Sad,Calm
2.891,0.346,4.006,4.516,2.171,-0.109,Sad,Calm
2.826,0.354,3.781,4.734,2.101,-0.127,Sad,Calm
2.636,0.379,3.311,4.859,1.951,-0.176,Sad,Calm
2.523,0.396,3.346,4.967,2.046,-0.154,Sad,Calm
2.679,0.373,3.354,5.071,2.081,-0.05,Sad,Calm
2.965,0.337,3.341,5.119,2.19,0.003,Sad,Calm
3.164,0.316,3.302,5.127,2.25,0.034,Sad,Calm
3.203,0.312,3.449,5.086,2.262,0.065,Sad,Calm
3.205,0.312,3.436,5.026,2.194,0.092,Sad,Calm
3.252,0.308,3.533,4.945,2.073,0.094,Sad,Calm
3.294,0.304,3.566,4.81,2.039,0.081,Sad,Calm
3.362,0.297,3.387,4.598,1.882,0.058,Sad,Calm
3.459,0.289,3.507,4.354,2.064,0.037,Sad,Calm
3.534,0.283,3.478,4.217,2.058,0.024,Sad,Calm
3.591,0.278,3.589,4.179,2.212,0.025,Sad,Calm
3.669,0.273,3.651,4.082,2.201,0.033,Sad,Calm
3.631,0.275,3.713,3.976,2.183,0.03,Sad,Calm
3.554,0.281,3.707,3.976,2.248,0.02,Sad,Calm
3.544,0.282,3.663,3.958,2.267,0.014,Sad,Calm
3.542,0.282,3.632,3.937,2.235,0.005,Sad,Calm
3.617,0.276,3.584,4.029,2.239,0.001,Sad,Calm
3.665,0.273,3.641,4.181,2.284,0.01,Sad,Calm
3.596,0.278,3.832,4.24,2.331,0.02,Sad,Calm
3.521,0.284,3.842,4.206,2.218,0.034,Sad,Calm
3.471,0.288,3.744,4.1,2.168,0.052,Sad,Calm
3.272,0.306,3.852,3.93,2.098,0.058,Sad,Calm
2.979,0.336,3.858,3.919,1.997,0.046,Sad,Calm
3.013,0.332,3.823,3.982,1.997,0.042,Sad,Calm
3.005,0.333,3.778,3.976,1.892,0.047,Sad,Calm
2.944,0.34,3.79,3.952,1.931,0.063,Sad,Calm
2.858,0.35,3.802,3.883,1.963,0.094,Sad,Calm
2.565,0.39,3.891,3.619,2.144,0.151,Sad,Calm
2.518,0.397,3.696,3.56,2.075,0.124,Sad,Calm
2.596,0.385,3.593,3.893,2.062,0.089,Sad,Calm
2.573,0.389,3.621,4.04,2.093,0.076,Sad,Calm
2.69,0.372,3.66,4.047,2.088,0.032,Sad,Calm
2.754,0.363,3.529,4.137,2.068,0.017,Sad,Calm
2.707,0.369,3.442,4.155,2.037,0.02,Sad,Calm
2.603,0.384,3.501,4.065,1.967,0.01,Sad,Calm
2.66,0.376,3.558,4.017,2.106,-0.01,Sad,Calm
2.755,0.363,3.624,4.033,2.164,-0.025,Sad,Calm
2.76,0.362,3.809,4.084,2.234,-0.032,Sad,Calm
2.794,0.358,3.721,4.199,2.125,-0.042,Sad,Calm
2.855,0.35,3.683,4.169,2.132,0.002,Sad,Calm
3.162,0.316,3.68,3.993,2.177,0.034,Sad,Calm
3.294,0.304,3.576,3.89,2.197,0.028,Sad,Calm
3.239,0.309,3.53,3.812,2.146,0.025,Sad,Calm
3.281,0.305,3.598,3.67,2.203,0.018,Sad,Calm
3.485,0.287,3.925,3.636,2.422,0.014,Sad,Calm
3.657,0.273,4.197,3.791,2.478,0.011,Sad,Calm
3.705,0.27,4.172,4.056,2.457,0.008,Sad,Calm
3.664,0.273,4.066,4.163,2.39,0.009,Sad,Calm
3.669,0.273,4.012,4.151,2.499,0.013,Sad,Calm
3.667,0.273,4.045,3.989,2.703,0.016,Sad,Calm
3.537,0.283,4.118,3.828,2.74,0.004,Sad,Calm
3.611,0.277,3.548,3.528,2.296,-0.049,Agressive,
3.638,0.275,3.495,3.498,2.235,-0.043,Agressive,
3.635,0.275,3.503,3.454,1.866,-0.04,Agressive,
3.539,0.283,3.618,3.249,1.754,-0.04,Agressive,
3.317,0.302,3.714,3.016,1.737,-0.041,Agressive,
3.241,0.309,3.748,3.173,1.669,-0.04,Agressive,
3.157,0.317,3.713,3.267,1.746,-0.044,Agressive,
2.776,0.36,3.685,3.249,1.689,-0.048,Agressive,
2.401,0.416,3.747,3.297,1.752,-0.052,Agressive,
2.489,0.402,3.877,3.444,1.786,-0.057,Agressive,
2.592,0.386,3.866,3.524,1.779,-0.067,Agressive,
2.544,0.393,3.923,3.588,1.809,-0.086,Agressive,
2.422,0.413,4.021,3.716,1.881,-0.126,Agressive,
2.265,0.441,4.033,3.859,1.885,-0.149,Agressive,
2.215,0.451,3.854,3.873,1.986,-0.149,Agressive,
2.654,0.377,3.865,3.789,2.127,-0.134,Agressive,
3.189,0.314,3.853,4.239,2.11,-0.087,Agressive,
3.362,0.297,3.856,4.718,2.066,-0.067,Agressive,
3.372,0.297,3.811,4.848,2.042,-0.066,Agressive,
3.344,0.299,3.714,4.827,2.067,-0.067,Agressive,
3.321,0.301,3.843,4.798,2.088,-0.062,Agressive,
3.321,0.301,3.819,4.803,2.056,-0.065,Agressive,
3.306,0.302,3.822,4.796,2.063,-0.067,Agressive,
3.342,0.299,3.738,4.753,2.002,-0.06,Agressive,
3.362,0.297,3.648,4.733,1.961,-0.06,Agressive,
3.278,0.305,3.862,4.713,1.92,-0.055,Agressive,
2.902,0.345,4.041,4.612,1.7,-0.051,Agressive,
2.299,0.435,4.159,4.117,1.797,-0.061,Agressive,
2.102,0.476,4.171,3.494,1.9,-0.049,Agressive,
2.097,0.477,4.213,3.595,1.99,-0.055,Agressive,
2.114,0.473,4.142,3.875,1.91,-0.048,Agressive,
2.007,0.498,4.033,3.973,2.002,-0.022,Agressive,
2.021,0.495,4.029,3.904,2.084,-0.003,Agressive,
2.146,0.466,4.136,3.98,2.103,-0.022,Agressive,
2.227,0.449,4.163,4.116,2.137,-0.04,Agressive,
2.261,0.442,4.106,4.197,2.061,-0.047,Agressive,
2.438,0.41,4.095,4.318,2.125,-0.042,Agressive,
2.708,0.369,3.865,4.435,2.114,-0.025,Agressive,
2.767,0.361,3.951,4.505,2.114,-0.031,Agressive,
2.834,0.353,4.229,4.499,2.01,-0.055,Agressive,
2.912,0.343,4.342,4.392,2.127,-0.066,Agressive,
2.907,0.344,4.378,4.269,2.143,-0.08,Agressive,
2.929,0.341,4.377,4.245,2.114,-0.088,Agressive,
2.95,0.339,4.319,4.23,2.062,-0.084,Agressive,
3.017,0.331,4.343,4.156,2.064,-0.075,Agressive,
3.175,0.315,4.325,4.14,2.06,-0.051,Agressive,
3.331,0.3,4.35,4.091,1.999,-0.031,Agressive,
3.281,0.305,4.226,4.014,2.067,-0.029,Agressive,
3.263,0.306,4.232,3.95,2.027,-0.036,Agressive,
3.327,0.301,3.986,3.884,1.961,-0.034,Agressive,
3.324,0.301,3.884,3.753,1.986,-0.019,Agressive,
3.307,0.302,3.777,3.695,1.908,-0.01,Agressive,
3.293,0.304,3.762,3.722,1.933,-0.008,Agressive,
3.309,0.302,3.805,3.751,1.768,-0.005,Agressive,
3.271,0.306,3.757,3.759,1.895,0.001,Agressive,
3.142,0.318,3.904,3.808,2.074,-0.001,Agressive,
3.212,0.311,4.093,3.713,2.162,-0.019,Agressive,
3.444,0.29,4.236,3.741,2.266,-0.03,Agressive,
3.58,0.279,4.491,3.739,2.387,-0.036,Agressive,
3.669,0.273,4.565,3.745,2.506,-0.038,Agressive,
3.705,0.27,4.598,4.136,2.494,-0.035,Agressive,
3.805,0.263,4.571,4.368,2.451,-0.03,Agressive,
3.904,0.256,4.567,4.393,2.467,-0.028,Agressive,
3.909,0.256,4.569,4.441,2.481,-0.029,Agressive,
3.885,0.257,4.556,4.546,2.476,-0.034,Agressive,
3.884,0.257,4.541,4.61,2.401,-0.035,Agressive,
3.838,0.261,4.369,4.623,2.381,-0.035,Agressive,
3.664,0.273,4.317,4.633,2.476,-0.037,Agressive,
3.371,0.297,4.087,4.607,2.403,-0.032,Agressive,
3.158,0.317,3.956,4.627,2.387,-0.003,Agressive,
3.057,0.327,3.867,4.561,2.345,0.007,Agressive,
2.916,0.343,3.864,4.32,2.382,-0.002,Agressive,
2.776,0.36,3.781,4.232,2.365,-0.008,Agressive,
2.543,0.393,3.712,4.224,2.351,0.005,Agressive,
2.511,0.398,3.728,4.297,2.341,0.014,Agressive,
2.526,0.396,3.707,4.484,2.345,0.022,Agressive,
2.535,0.395,3.738,4.539,2.32,0.027,Agressive,
2.647,0.378,3.731,4.464,2.251,0.013,Agressive,
2.776,0.36,3.72,4.493,2.239,-0.008,Agressive,
2.793,0.358,3.629,4.582,2.135,-0.031,Agressive,
2.768,0.361,3.389,4.648,1.951,-0.036,Agressive,
2.824,0.354,3.366,4.667,2.018,-0.011,Agressive,
2.861,0.35,3.224,4.665,1.941,0.007,Agressive,
2.828,0.354,3.322,4.713,1.906,0.014,Agressive,
2.799,0.357,3.382,4.808,1.994,0.011,Agressive,
2.858,0.35,3.4,4.746,2.004,0.003,Agressive,
2.926,0.342,3.596,4.494,1.952,-0.012,Agressive,
2.899,0.345,3.609,4.32,1.964,-0.009,Agressive,
2.891,0.346,3.611,4.29,2.011,0.002,Agressive,
2.862,0.349,3.575,4.216,2.025,0.003,Agressive,
2.808,0.356,3.529,4.073,2.087,0.005,Agressive,
2.708,0.369,3.613,3.936,2.089,0.012,Agressive,
2.444,0.409,3.642,3.988,2.109,0.002,Agressive,
2.297,0.435,3.703,4.06,2.143,-0.003,Agressive,
2.289,0.437,3.746,3.92,2.234,0.012,Agressive,
2.36,0.424,4.005,3.731,2.266,-0.01,Agressive,
2.392,0.418,4.019,3.768,2.259,-0.023,Agressive,
2.428,0.412,3.809,3.8,2.287,-0.02,Agressive,
2.458,0.407,3.927,3.894,2.42,-0.014,Agressive,
2.394,0.418,4.067,4.071,2.456,0.003,Agressive,
2.441,0.41,4.109,4.151,2.367,0.016,Agressive,
2.459,0.407,4.128,4.113,2.488,0.004,Agressive,
2.466,0.406,4.058,3.99,2.534,-0.01,Agressive,
2.584,0.387,4.105,3.905,2.588,0.001,Agressive,
2.638,0.379,4.121,4,2.586,-0.008,Agressive,
2.812,0.356,3.983,4.04,2.507,-0.014,Agressive,
3.174,0.315,3.966,3.904,2.576,0,Agressive,
2.909,0.344,4.025,4.032,2.12,0.025,Sad,Happy
3.029,0.33,4.037,3.939,2.053,0.041,Sad,Happy
2.97,0.337,3.837,3.956,2.036,0.048,Sad,Happy
3.147,0.318,3.534,3.998,2.044,0.024,Sad,Happy
3.317,0.301,3.113,4.014,2.149,0.005,Sad,Happy
3.365,0.297,3.465,4.043,2.233,-0.001,Sad,Happy
3.355,0.298,3.602,4.061,2.214,-0.001,Sad,Happy
3.393,0.295,3.709,4.024,2.303,-0.009,Sad,Happy
