alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Respuesta
4.17,0.24,4.21,4.14,4.3,-0.03,Happy,Happy
4,0.25,4.38,4.25,4.42,-0.04,Happy,Happy
4.03,0.25,4.5,4.51,4.43,-0.03,Happy,Happy
4.02,0.25,4.49,4.71,4.4,-0.03,Happy,Happy
4.07,0.25,4.5,4.85,4.34,-0.02,Happy,Happy
4.13,0.24,4.52,5,4.34,-0.02,Happy,Happy
4.1,0.24,4.59,5.11,4.24,-0.01,Happy,Happy
4.11,0.24,4.67,5.05,4.22,-0.01,Happy,Happy
4.16,0.24,4.68,5.11,4.41,-0.01,Happy,Happy
4.13,0.24,4.45,5.18,4.38,-0.01,Happy,Happy
4.02,0.25,4.65,5.29,4.13,0,Happy,Happy
4,0.25,4.67,5.58,4.1,0,Happy,Happy
4.24,0.24,4.78,5.63,4.2,0,Happy,Happy
4.59,0.22,5,5.93,4.22,0,Happy,Happy
4.84,0.21,4.99,6.51,4.22,0,Happy,Happy
4.96,0.2,4.97,6.76,4.2,0,Happy,Happy
4.94,0.2,4.94,6.82,4.12,0,Happy,Happy
5.01,0.2,4.93,6.86,4.12,0,Happy,Happy
5.08,0.2,4.94,6.88,4.1,0,Happy,Happy
5.07,0.2,4.93,6.93,3.88,0,Happy,Happy
5.07,0.2,4.92,6.93,3.74,0,Happy,Happy
5.06,0.2,4.75,6.89,3.77,0,Happy,Happy
4.99,0.2,4.66,6.91,3.7,0,Happy,Happy
4.82,0.21,4.22,6.97,3.33,0,Happy,Happy
4.62,0.22,4.04,6.82,3.36,0,Happy,Happy
4.21,0.24,4.06,6.49,3.33,0,Happy,Happy
4.02,0.25,4.06,6.33,3.34,0,Happy,Happy
3.96,0.25,4.06,6.21,3.27,0,Happy,Happy
3.78,0.26,4.08,6.1,3.33,0,Happy,Happy
3.66,0.27,4.26,6.01,3.42,0,Happy,Happy
3.67,0.27,4.43,5.91,3.39,-0.01,Happy,Happy
3.68,0.27,4.45,5.88,3.25,-0.01,Happy,Happy
3.76,0.27,4.4,5.81,3.28,0,Happy,Happy
3.88,0.26,4.48,5.46,3.3,0.01,Happy,Happy
3.93,0.25,4.53,5.33,3.28,0.02,Happy,Happy
3.92,0.26,4.53,5.64,3.29,0.03,Happy,Happy
3.93,0.25,4.74,5.78,3.38,0.04,Happy,Happy
4.09,0.24,4.77,5.92,3.34,0.03,Happy,Happy
4.38,0.23,4.71,6.12,3.33,0.02,Happy,Happy
4.5,0.22,4.7,6.23,3.15,0.02,Happy,Happy
4.62,0.22,4.54,6.25,2.9,0.01,Happy,Happy
4.72,0.21,4.39,6.26,2.95,0.01,Happy,Happy
4.74,0.21,4.41,6.27,2.81,0.01,Happy,Happy
4.71,0.21,4.39,6.27,2.55,0.01,Happy,Happy
4.64,0.22,4.2,6.29,2.48,0,Happy,Happy
4.66,0.21,4.11,6.21,2.55,0,Happy,Happy
4.67,0.21,4.08,6.03,2.34,0,Happy,Happy
4.66,0.21,3.44,5.85,2.13,0,Happy,Happy
4.52,0.22,3.38,5.54,2.12,0,Happy,Happy
4.34,0.23,3.29,5.12,2.05,0,Happy,Happy
4.12,0.24,2.97,4.79,2.16,0,Happy,Happy
3.8,0.26,2.92,4.68,1.98,-0.01,Happy,Happy
3.54,0.28,2.85,4.62,2.08,-0.01,Happy,Happy
3.33,0.3,2.69,4.61,2.14,-0.01,Happy,Happy
3.33,0.3,2.66,4.6,2.28,-0.01,Happy,Happy
3.24,0.31,2.58,4.54,2.44,0,Happy,Happy
3.04,0.33,2.46,4.48,2.36,0,Happy,Happy
2.9,0.35,2.55,4.13,2.36,0,Happy,Happy
2.85,0.35,2.48,3.76,2.33,0.01,Happy,Happy
2.39,0.42,2.37,3.68,2.33,0.02,Happy,Happy
2.08,0.48,2.47,3.61,2.22,0,Happy,Happy
2.05,0.49,2.52,3.51,2.2,0.03,Happy,Happy
1.76,0.57,2.68,3.4,2.24,0.1,Happy,Happy
1.49,0.67,2.69,3.29,2.11,0.14,Happy,Happy
1.48,0.68,2.63,3.37,2.05,0.13,Happy,Happy
1.49,0.67,2.76,3.49,1.96,0.04,Happy,Happy
1.7,0.59,3.34,3.75,2.09,0,Happy,Happy
1.91,0.52,3.84,4.06,2.09,0.01,Happy,Happy
2.58,0.39,3.9,4.12,2.22,0.01,Happy,Happy
2.87,0.35,4,4.15,2.22,0.02,Happy,Happy
3,0.33,4.1,4.22,2.29,0.01,Happy,Happy
3.51,0.28,4.15,4.3,2.35,0,Happy,Happy
3.73,0.27,4.23,4.4,2.4,0,Happy,Happy
3.8,0.26,4.25,4.52,2.36,0,Happy,Happy
3.82,0.26,4.33,4.59,2.44,0,Happy,Happy
3.82,0.26,4.36,4.56,2.5,0,Happy,Happy
3.81,0.26,4.31,4.48,2.26,0,Happy,Happy
3.79,0.26,4.17,4.29,2.31,0,Happy,Happy
3.78,0.26,4.01,4.16,2.37,0,Happy,Happy
3.8,0.26,3.98,4.2,2.43,0,Happy,Happy
3.86,0.26,3.85,4.39,2.4,0,Happy,Happy
3.69,0.27,3.74,4.57,2.29,0,Happy,Happy
3.34,0.3,3.59,4.61,2.22,0,Happy,Happy
3.17,0.32,3.51,4.56,2.2,0,Happy,Happy
3.16,0.32,3.56,4.45,2.18,0.01,Happy,Happy
3.38,0.3,3.5,4.43,2.12,0,Happy,Happy
3.53,0.28,3.36,4.47,2.09,-0.01,Happy,Happy
3.59,0.28,3.29,4.47,2.16,-0.01,Happy,Happy
3.6,0.28,2.94,4.42,2.08,-0.01,Happy,Happy
3.77,0.26,3.39,5.49,3.27,0.18,Sad,Sad
3.81,0.26,3.53,5.42,3.31,0.19,Sad,Sad
4.04,0.25,3.62,5.32,3.7,0.21,Sad,Sad
4.27,0.23,7,5.3,7.44,0.21,Sad,Sad
5.06,0.2,7.54,5.95,7.46,0.08,Sad,Sad
6.14,0.16,7.55,6.81,7.47,0.05,Sad,Sad
6.54,0.15,7.55,7.08,7.47,0.04,Sad,Sad
