alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Respuesta
2.77,0.36,2.96,3.44,2.11,-0.14,Happy,Happy
2.91,0.34,2.91,3.46,2.14,-0.12,Happy,Happy
2.92,0.34,2.93,3.46,2.18,-0.1,Happy,Happy
2.89,0.35,3,3.58,2.15,-0.11,Happy,Happy
2.99,0.33,3.04,3.82,2.18,-0.1,Happy,Happy
3.13,0.32,2.97,3.99,2.14,-0.08,Happy,Happy
3.2,0.31,2.97,4.09,2.02,-0.06,Happy,Happy
3.23,0.31,2.97,4.13,1.92,-0.05,Happy,Happy
3.24,0.31,2.92,4.09,1.94,-0.05,Happy,Happy
3.16,0.32,2.7,3.95,1.96,-0.04,Happy,Happy
2.92,0.34,2.94,3.94,1.93,-0.02,Happy,Happy
2.67,0.38,3.01,4,2.02,0,Happy,Happy
2.51,0.4,3.01,4.03,2.18,0.02,Happy,Happy
2.55,0.39,3.01,3.95,2.15,0.02,Happy,Happy
2.71,0.37,3,3.79,2.15,0.01,Happy,Happy
2.63,0.38,3.11,3.65,2.19,0.03,Happy,Happy
2.41,0.42,3.23,3.44,2.24,0.01,Happy,Happy
2.36,0.42,3.23,3.26,2.56,-0.02,Happy,Happy
2.3,0.44,3.63,3.33,2.62,-0.04,Happy,Happy
2.41,0.42,3.7,3.82,2.64,-0.04,Happy,Happy
2.65,0.38,3.7,4.29,2.62,-0.04,Happy,Happy
2.68,0.37,3.56,4.43,2.59,-0.05,Happy,Happy
2.71,0.37,3.52,4.45,2.5,-0.04,Happy,Happy
2.71,0.37,3.49,4.49,2.39,-0.04,Happy,Happy
2.59,0.39,3.45,4.48,2.38,-0.04,Happy,Happy
2.41,0.42,3.47,4.48,2.49,-0.05,Happy,Happy
2.36,0.42,3.4,4.53,2.4,-0.06,Happy,Happy
2.39,0.42,3.34,4.58,2.39,-0.05,Happy,Happy
2.35,0.43,3.36,4.58,1.92,-0.03,Happy,Happy
2.4,0.42,2.64,4.48,1.95,-0.02,Happy,Happy
2.14,0.47,2.63,4.11,2.15,0.01,Happy,Happy
2.01,0.5,2.82,3.71,2.15,0.08,Happy,Happy
2.08,0.48,2.84,3.76,2.17,0.1,Happy,Happy
2.44,0.41,2.98,3.82,2.2,0.07,Happy,Happy
2.75,0.36,3.59,3.78,3.31,0.05,Happy,Happy
3.29,0.3,4.53,3.94,3.37,0.02,Happy,Happy
4.37,0.23,4.56,4.6,3.39,0,Happy,Happy
4.73,0.21,4.59,4.93,3.4,0,Happy,Happy
4.82,0.21,4.58,4.97,3.45,0,Happy,Happy
4.86,0.21,4.59,4.96,3.49,0,Happy,Happy
4.87,0.21,4.63,4.97,3.52,0,Happy,Happy
4.89,0.2,4.63,5.01,3.51,0,Happy,Happy
4.9,0.2,4.62,5.09,3.49,0,Happy,Happy
4.89,0.2,4.61,5.12,3.51,0,Happy,Happy
4.85,0.21,4.61,5.11,3.52,-0.01,Happy,Happy
4.82,0.21,3.73,5.11,2.7,-0.01,Happy,Happy
4.61,0.22,3.25,5.06,2.62,-0.01,Happy,Happy
4.04,0.25,3.21,4.64,2.55,-0.02,Happy,Happy
3.43,0.29,3.13,4.29,2.67,-0.03,Happy,Happy
3.29,0.3,3.15,4.38,2.65,-0.04,Happy,Happy
3.2,0.31,3.07,4.38,2.58,-0.04,Happy,Happy
3.09,0.32,2.91,4.31,2.87,-0.04,Happy,Happy
3.02,0.33,3.07,4.12,2.95,-0.04,Happy,Happy
3.05,0.33,3.06,3.93,3.12,-0.04,Happy,Happy
3.14,0.32,3.15,3.87,3.16,-0.03,Happy,Happy
3.23,0.31,3.1,4.12,3.16,-0.03,Happy,Happy
3.31,0.3,3.13,4.49,3.16,-0.03,Happy,Happy
3.38,0.3,3.14,4.58,3.18,-0.02,Happy,Happy
3.4,0.29,3.25,4.51,3.26,-0.02,Happy,Happy
3.24,0.31,3.27,4.36,3.25,-0.02,Happy,Happy
3.13,0.32,3.29,4.34,3.25,-0.01,Happy,Happy
3.2,0.31,3.29,4.43,3.21,-0.01,Happy,Happy
3.28,0.3,3.26,4.45,2.92,-0.02,Happy,Happy
3.32,0.3,3.14,4.44,3.02,-0.03,Happy,Happy
3.29,0.3,3.21,4.4,2.89,-0.03,Happy,Happy
1.67,0.6,2.67,2.54,1.8,-0.04,Sad,Happy
1.46,0.69,2.6,2.78,1.73,-0.07,Sad,Happy
1.23,0.81,2.62,2.88,1.76,-0.05,Sad,Happy
1.39,0.72,2.89,3.12,2.06,0.01,Sad,Happy
2.48,0.4,3.21,3.48,2.22,-0.05,Sad,Happy
3.74,0.27,3.41,4.41,2.29,-0.03,Sad,Happy
4.27,0.23,3.47,4.84,2.46,-0.02,Sad,Happy
4.38,0.23,3.54,4.98,2.54,-0.02,Sad,Happy
4.39,0.23,3.53,5.01,2.61,-0.02,Sad,Happy
4.46,0.22,3.57,5.01,2.75,-0.02,Sad,Happy
4.55,0.22,3.56,5.01,2.82,-0.02,Sad,Happy
4.61,0.22,3.94,5.06,2.84,-0.02,Sad,Happy
4.63,0.22,4.17,5.25,2.96,-0.02,Sad,Happy
4.76,0.21,4.28,5.35,2.92,-0.02,Sad,Happy
4.94,0.2,4.14,5.43,2.74,-0.02,Sad,Happy
4.88,0.21,4.12,5.52,2.66,-0.02,Sad,Happy
4.61,0.22,4,5.43,2.55,-0.02,Sad,Happy
4.46,0.22,3.99,5.33,2.53,-0.03,Sad,Happy
4.44,0.23,4.18,5.24,2.64,-0.03,Sad,Happy
4.46,0.22,4.25,5.23,2.6,-0.03,Sad,Happy
4.38,0.23,4.45,5.25,2.85,-0.03,Sad,Happy
4.41,0.23,4.55,5.42,2.98,-0.03,Sad,Happy
4.75,0.21,4.3,5.44,2.95,-0.02,Sad,Happy
4.92,0.2,4.12,5.3,2.98,-0.02,Sad,Happy
4.79,0.21,4.09,5.21,3.04,-0.02,Sad,Happy
4.63,0.22,4.14,5.03,3.12,-0.02,Sad,Happy
4.63,0.22,4.14,4.98,3.17,-0.02,Sad,Happy
4.67,0.21,4.16,4.96,3.17,-0.02,Sad,Happy
4.65,0.22,4.08,4.87,3.11,-0.01,Sad,Happy
4.62,0.22,3.9,4.84,3.1,-0.01,Sad,Happy
4.63,0.22,3.74,4.84,3,-0.01,Sad,Happy
4.65,0.22,3.29,4.67,2.7,-0.01,Sad,Happy
4.4,0.23,3.11,4.35,2.62,-0.02,Sad,Happy
3.87,0.26,3.12,4.37,2.63,-0.02,Sad,Happy
3.58,0.28,3.14,4.43,2.39,-0.02,Sad,Happy
3.4,0.29,3.08,4.4,2.32,-0.02,Sad,Happy
3.27,0.31,2.94,4.28,2.1,-0.01,Sad,Happy
2.99,0.33,2.91,3.98,2.01,-0.01,Sad,Happy
2.72,0.37,2.82,3.78,2.27,-0.01,Sad,Happy
2.71,0.37,3.17,3.77,2.35,-0.02,Sad,Happy
3.06,0.33,3.32,3.81,2.27,0,Sad,Happy
3.39,0.29,3.32,3.87,2.29,0,Sad,Happy
3.5,0.29,3.27,3.9,2.34,0.01,Sad,Happy
3.49,0.29,3.14,3.84,2.38,0,Sad,Happy
3.47,0.29,3.26,3.61,2.35,0,Sad,Happy
3.51,0.29,3.3,3.45,2.31,0,Sad,Happy
3.6,0.28,3.49,3.74,2.32,0.01,Sad,Happy
3.66,0.27,3.5,3.95,2.34,0.01,Sad,Happy
3.71,0.27,3.56,3.99,2.35,0.01,Sad,Happy
3.8,0.26,3.4,3.98,2.1,0,Sad,Happy
3.81,0.26,3.23,3.98,1.94,0,Sad,Happy
3.62,0.28,3.23,3.93,2.21,0,Sad,Happy
3.22,0.31,3.48,3.91,2.3,-0.01,Sad,Happy
3.01,0.33,3.55,4.02,2.54,-0.01,Sad,Happy
3.24,0.31,3.6,4.06,2.6,0,Sad,Happy
3.36,0.3,3.57,4.1,2.61,0,Sad,Happy
3.31,0.3,3.47,4.15,2.69,-0.01,Sad,Happy
3.15,0.32,3.48,3.97,2.71,-0.02,Sad,Happy
3.13,0.32,3.47,3.88,2.75,-0.02,Sad,Happy
3.02,0.33,3.46,3.99,2.84,-0.01,Sad,Happy
2.83,0.35,3.47,4.08,2.87,-0.01,Sad,Happy
2.83,0.35,3.46,4.09,2.87,0,Sad,Happy
2.91,0.34,3.61,4.13,2.69,0,Sad,Happy
3.11,0.32,3.57,4.13,2.87,-0.01,Sad,Happy
3.34,0.3,3.54,3.99,2.78,-0.01,Sad,Happy
3.31,0.3,3.65,4,2.92,-0.01,Sad,Happy
3.25,0.31,3.78,3.95,2.94,-0.01,Sad,Happy
3.25,0.31,3.82,3.66,2.88,-0.01,Sad,Happy
3.25,0.31,3.81,3.6,2.86,-0.02,Sad,Happy
3.23,0.31,3.87,3.89,2.89,-0.02,Sad,Happy
3.2,0.31,3.85,3.97,2.93,-0.01,Sad,Happy
3.2,0.31,3.85,3.93,2.95,-0.01,Sad,Happy
3.16,0.32,3.83,3.91,2.96,-0.01,Sad,Happy
3.1,0.32,3.59,3.82,2.92,-0.01,Sad,Happy
2.7,0.37,3.58,3.79,2.95,-0.01,Sad,Happy
1.78,0.56,3.59,3.69,2.97,-0.03,Sad,Happy
1.73,0.58,3.41,3.61,2.94,-0.02,Sad,Happy
1.75,0.57,3.36,3.63,2.93,-0.04,Sad,Happy
1.93,0.52,3.45,4.02,3.1,-0.07,Sad,Happy
2.73,0.37,3.42,4.98,3.11,-0.07,Sad,Happy
3.32,0.3,3.33,5.84,3.07,-0.05,Sad,Happy
3.61,0.28,3.41,6.23,3.15,-0.04,Sad,Happy
3.62,0.28,3.37,6.31,3.11,-0.04,Sad,Happy
3.68,0.27,3.46,6.32,3.14,-0.04,Sad,Happy
3.76,0.27,3.42,6.33,3.01,-0.03,Sad,Happy
3.8,0.26,3.31,6.33,2.9,-0.03,Sad,Happy
3.83,0.26,3.77,6.33,2.94,-0.04,Sad,Happy
4.08,0.24,4.03,6.34,2.95,-0.03,Sad,Happy
4.43,0.23,4.2,6.38,2.91,-0.02,Sad,Happy
4.47,0.22,4.18,6.38,2.83,-0.02,Sad,Happy
4.4,0.23,4.2,6.12,2.83,-0.01,Sad,Happy
4.23,0.24,4.21,5.42,2.85,-0.01,Sad,Happy
4.19,0.24,4.18,4.7,2.72,-0.02,Sad,Happy
4.2,0.24,4.18,4.47,2.67,-0.02,Sad,Happy
4.15,0.24,4.15,4.46,2.68,-0.02,Sad,Happy
4.11,0.24,4.16,4.53,2.79,-0.02,Sad,Happy
4.12,0.24,4.15,4.58,2.73,-0.02,Sad,Happy
4.09,0.24,3.75,4.57,2.62,-0.02,Sad,Happy
3.66,0.27,3.34,4.47,2.58,-0.03,Sad,Happy
3.08,0.32,3.32,4.04,2.52,-0.07,Sad,Happy
3.16,0.32,3.32,3.73,2.42,-0.06,Sad,Happy
3.16,0.32,3.42,4.05,2.35,-0.04,Sad,Happy
