alpha,arousal1,betha,theta,gamma,valence1,'Stimuli (Audio)',Respuesta
4.79,0.21,5.52,6.73,3.38,0,Agressive,Happy
5.68,0.18,5.59,7.71,3.1,0,Agressive,Happy
6.15,0.16,5.56,8.23,2.98,0,Agressive,Happy
6.25,0.16,5.53,8.34,2.89,0,Agressive,Happy
6.26,0.16,5.43,8.34,2.85,0,Agressive,Happy
6.25,0.16,5.36,8.35,2.86,0,Agressive,Happy
6.17,0.16,5.34,8.36,2.87,0,Agressive,Happy
6.14,0.16,5.37,8.37,2.91,0,Agressive,Happy
6.13,0.16,5.38,8.38,3.16,0,Agressive,Happy
6.13,0.16,5.41,8.39,3.11,0,Agressive,Happy
6.14,0.16,5.32,8.39,2.75,0,Agressive,Happy
6.05,0.17,4.36,8.32,2.69,0,Agressive,Happy
5.52,0.18,4.22,7.87,2.73,0,Agressive,Happy
4.93,0.2,4.16,7.13,2.74,-0.01,Agressive,Happy
5.1,0.2,4.15,6.73,2.73,-0.01,Agressive,Happy
5.12,0.2,4.25,6.58,2.78,0,Agressive,Happy
5.2,0.19,4.32,6.41,2.76,0,Agressive,Happy
5.4,0.19,4.33,6.49,2.85,0,Agressive,Happy
5.55,0.18,4.41,6.71,2.87,0,Agressive,Happy
5.63,0.18,4.7,6.93,2.78,0,Agressive,Happy
5.67,0.18,4.68,7.02,2.67,0,Agressive,Happy
5.67,0.18,4.55,7.02,2.64,0,Agressive,Happy
5.63,0.18,4.49,7.01,2.61,0,Agressive,Happy
5.48,0.18,4.38,6.92,2.57,0,Agressive,Happy
5.22,0.19,4.39,6.78,2.67,0,Agressive,Happy
5.08,0.2,4.41,6.74,2.65,0,Agressive,Happy
5.01,0.2,4.25,6.7,2.63,0,Agressive,Happy
4.75,0.21,4.19,6.64,2.62,0,Agressive,Happy
4.37,0.23,4.03,6.47,2.5,0.01,Agressive,Happy
3.96,0.25,3.6,6.09,2.05,0.01,Agressive,Happy
3.47,0.29,2.72,5.1,1.81,0.02,Agressive,Happy
3.06,0.33,2.63,3.77,1.83,0.02,Agressive,Happy
2.87,0.35,2.65,3.82,1.76,0.02,Agressive,Happy
2.86,0.35,2.63,3.93,1.75,0.01,Agressive,Happy
3.05,0.33,2.63,4.06,1.68,0,Agressive,Happy
3.01,0.33,2.43,4.12,1.41,-0.01,Agressive,Happy
2.97,0.34,2.43,4.15,1.41,-0.02,Agressive,Happy
2.95,0.34,2.35,4.14,1.51,-0.03,Agressive,Happy
2.93,0.34,2.39,4.09,1.58,-0.04,Agressive,Happy
2.92,0.34,2.8,4,1.46,-0.05,Agressive,Happy
3.08,0.32,2.91,3.99,1.46,-0.06,Agressive,Happy
3.19,0.31,2.98,4.32,1.5,-0.06,Agressive,Happy
3.16,0.32,3.03,4.53,1.41,-0.07,Agressive,Happy
3.21,0.31,2.99,4.56,1.52,-0.06,Agressive,Happy
3.09,0.32,3.03,4.51,1.51,-0.07,Agressive,Happy
2.88,0.35,3.04,4.46,1.47,-0.09,Agressive,Happy
2.81,0.36,3,4.54,1.58,-0.09,Agressive,Happy
2.8,0.36,3.05,4.63,1.71,-0.08,Agressive,Happy
2.77,0.36,3.07,4.65,1.67,-0.08,Agressive,Happy
2.77,0.36,2.99,4.67,1.66,-0.08,Agressive,Happy
2.73,0.37,2.73,4.67,1.66,-0.07,Agressive,Happy
2.36,0.42,2.59,4.54,1.64,-0.05,Agressive,Happy
2.07,0.48,2.53,4.28,1.66,-0.02,Agressive,Happy
1.83,0.55,2.4,4.01,1.74,0.02,Agressive,Happy
1.53,0.65,2.29,3.78,1.69,0.09,Agressive,Happy
1.57,0.64,2.34,3.75,2.01,0.12,Agressive,Happy
1.7,0.59,2.41,3.72,2.01,0.07,Agressive,Happy
1.77,0.56,2.58,3.41,2.01,0.02,Agressive,Happy
2.06,0.48,2.56,3.21,1.92,0,Agressive,Happy
2.24,0.45,2.57,3.29,1.93,-0.02,Agressive,Happy
2.26,0.44,2.51,3.37,1.96,-0.03,Agressive,Happy
2.21,0.45,2.52,3.39,1.94,-0.05,Agressive,Happy
2.23,0.45,2.64,3.39,1.95,-0.05,Agressive,Happy
2.36,0.42,2.71,3.36,1.91,-0.06,Agressive,Happy
2.5,0.4,2.92,3.33,1.87,-0.07,Agressive,Happy
2.57,0.39,2.93,3.27,1.78,-0.06,Agressive,Happy
2.62,0.38,2.9,3.12,1.56,-0.04,Agressive,Happy
2.72,0.37,2.81,3.16,1.42,-0.04,Agressive,Happy
2.64,0.38,2.63,3.29,1.41,-0.04,Agressive,Happy
2.47,0.41,2.75,3.22,1.68,-0.04,Agressive,Happy
2.54,0.39,3.31,3.1,1.89,0,Agressive,Happy
2.99,0.33,3.35,4.09,1.9,0.02,Agressive,Happy
3.44,0.29,3.56,5.09,1.96,0,Agressive,Happy
3.51,0.29,4.11,5.49,2.14,0.01,Agressive,Happy
3.66,0.27,4.12,5.6,2.22,0.01,Agressive,Happy
3.86,0.26,4.17,6.03,2.28,0,Agressive,Happy
3.92,0.25,4.27,6.39,2.27,0.01,Agressive,Happy
4.21,0.24,4.32,6.52,2.32,0.01,Agressive,Happy
4.34,0.23,4.33,6.61,2.34,0.01,Agressive,Happy
4.38,0.23,4.34,6.67,2.33,0.01,Agressive,Happy
4.41,0.23,4.31,6.7,2.79,0.01,Agressive,Happy
4.37,0.23,4.37,6.72,2.94,0,Agressive,Happy
4.25,0.24,4.43,6.7,3.04,0,Agressive,Happy
4.25,0.24,4.41,6.65,3.25,0,Agressive,Happy
4.31,0.23,4.27,6.64,4,0,Agressive,Happy
4.36,0.23,4.7,6.7,4.88,0,Agressive,Happy
4.99,0.2,4.86,6.65,4.96,0,Agressive,Happy
5.58,0.18,4.97,6.5,5.09,0,Agressive,Happy
5.71,0.18,4.98,6.39,5.21,0,Agressive,Happy
5.7,0.18,5.02,6.36,5.28,0,Agressive,Happy
5.69,0.18,5.08,6.33,5.36,0,Agressive,Happy
5.7,0.18,5.08,6.28,5.37,0,Agressive,Happy
5.7,0.18,5.07,6.24,5.38,0,Agressive,Happy
5.74,0.17,5.13,6.2,5.49,0,Agressive,Happy
5.81,0.17,5.09,6.17,5.62,0.01,Agressive,Happy
5.86,0.17,5.07,6.19,5.49,0.01,Agressive,Happy
5.78,0.17,4.89,6.13,5.41,0.01,Agressive,Happy
5.35,0.19,4.73,5.94,5.41,0.02,Agressive,Happy
4.82,0.21,4.84,5.88,5.41,0.04,Agressive,Happy
4.66,0.21,4.99,5.91,5.44,0.06,Agressive,Happy
4.69,0.21,4.99,6.07,5.43,0.05,Agressive,Happy
4.74,0.21,5.18,6.15,5.39,0.05,Agressive,Happy
4.83,0.21,5.27,6.21,5.39,0.04,Agressive,Happy
4.91,0.2,5.22,6.42,5.35,0.03,Agressive,Happy
4.21,0.24,4.1,6.39,3.78,-0.02,Sad,Happy
4.16,0.24,4.08,6.3,3.79,-0.01,Sad,Happy
4.39,0.23,4.46,6.04,3.81,0,Sad,Happy
4.71,0.21,4.48,5.94,3.84,0,Sad,Happy
4.74,0.21,4.57,5.98,3.88,0,Sad,Happy
4.78,0.21,4.75,5.92,3.87,0,Sad,Happy
4.89,0.2,5.08,5.84,3.86,0,Sad,Happy
4.91,0.2,5.15,5.86,3.8,0,Sad,Happy
4.92,0.2,5.25,5.88,3.79,0,Sad,Happy
4.96,0.2,5.41,5.82,3.87,0,Sad,Happy
5.01,0.2,5.45,5.78,3.71,0,Sad,Happy
5.23,0.19,5.44,5.95,3.62,0.01,Sad,Happy
5.44,0.18,5.38,6.06,3.58,0,Sad,Happy
5.37,0.19,5.25,5.99,3.56,0,Sad,Happy
5.24,0.19,5.32,5.84,3.69,0,Sad,Happy
5.24,0.19,5.35,5.74,3.68,0,Sad,Happy
5.24,0.19,5.19,5.84,3.67,0.01,Sad,Happy
5.25,0.19,5.05,6.01,3.75,0.01,Sad,Happy
5.25,0.19,5.2,6.09,3.69,0.01,Sad,Happy
5.26,0.19,5.24,6.32,3.66,0.01,Sad,Happy
5.23,0.19,5.16,6.62,3.71,0.01,Sad,Happy
5.11,0.2,5.11,6.69,3.67,0.01,Sad,Happy
4.69,0.21,5.12,6.63,3.59,0,Sad,Happy
4.38,0.23,5.09,6.63,3.56,0,Sad,Happy
4.33,0.23,5.15,6.65,3.57,0,Sad,Happy
4.25,0.24,4.98,6.66,3.38,0,Sad,Happy
4.03,0.25,4.97,6.64,3.33,-0.01,Sad,Happy
3.71,0.27,4.98,6.56,3.33,-0.01,Sad,Happy
3.63,0.28,4.76,6.49,3.34,-0.01,Sad,Happy
3.64,0.27,4.82,6.42,3.42,-0.01,Sad,Happy
3.68,0.27,4.64,6.21,3.1,-0.02,Sad,Happy
3.86,0.26,4.4,5.86,3.05,-0.02,Sad,Happy
3.77,0.27,4.67,5.53,3.32,-0.02,Sad,Happy
3.71,0.27,4.96,5.52,3.53,-0.02,Sad,Happy
4.09,0.24,4.91,5.49,3.44,-0.01,Sad,Happy
4.25,0.24,4.89,5.32,3.49,0,Sad,Happy
4.28,0.23,4.97,5.26,3.99,0,Sad,Happy
4.41,0.23,5.12,5.83,4.05,-0.01,Sad,Happy
4.86,0.21,5.15,6.73,4.14,-0.01,Sad,Happy
5.14,0.19,5.05,7.14,4.02,-0.01,Sad,Happy
5.18,0.19,4.96,7.23,4.07,0,Sad,Happy
5.13,0.19,4.95,7.25,4.08,0,Sad,Happy
5.08,0.2,4.87,7.27,4.01,0,Sad,Happy
5.06,0.2,4.65,7.26,3.88,0,Sad,Happy
4.99,0.2,4.38,7.24,3.79,-0.01,Sad,Happy
4.88,0.2,4.33,7.25,3.8,-0.01,Sad,Happy
4.81,0.21,4.36,7.25,3.69,-0.01,Sad,Happy
4.79,0.21,3.85,7.24,3.09,-0.01,Sad,Happy
4.58,0.22,3.88,7.11,3.18,-0.01,Sad,Happy
3.94,0.25,3.71,6.59,2.92,0,Sad,Happy
2.93,0.34,3.66,5.75,2.85,-0.01,Sad,Happy
2.47,0.41,3.66,5.04,2.67,-0.06,Sad,Happy
2.49,0.4,3.63,4.49,2.71,-0.06,Sad,Happy
2.48,0.4,3.57,4.24,2.76,-0.07,Sad,Happy
2.53,0.4,3.51,4.21,2.7,-0.03,Sad,Happy
2.5,0.4,3.65,4.07,2.65,0.01,Sad,Happy
2.42,0.41,3.66,3.82,2.73,0.04,Sad,Happy
2.47,0.41,3.73,3.73,2.68,0.04,Sad,Happy
2.52,0.4,3.76,3.75,2.53,0.04,Sad,Happy
2.51,0.4,3.53,3.74,2.19,0.01,Sad,Happy
2.59,0.39,3.52,3.75,2.23,0,Sad,Happy
2.64,0.38,3.48,3.86,2.22,0,Sad,Happy
2.59,0.39,3.61,3.94,3.01,0,Sad,Happy
2.57,0.39,3.63,3.88,3.02,0,Sad,Happy
2.55,0.39,3.63,3.78,3.03,-0.02,Sad,Happy
2.48,0.4,3.61,3.82,3.1,-0.06,Sad,Happy
2.55,0.39,3.7,4.03,3.15,-0.08,Sad,Happy
2.72,0.37,3.65,4.34,3.11,-0.06,Sad,Happy
2.67,0.37,4.1,4.45,3.29,-0.08,Sad,Happy
3.11,0.32,4.31,4.71,3.32,-0.03,Sad,Happy
4.14,0.24,4.33,5.68,3.32,0,Sad,Happy
4.5,0.22,4.38,6.2,3.3,0,Sad,Happy
4.53,0.22,4.39,6.34,3.21,0,Sad,Happy
4.62,0.22,4.32,6.4,2.77,0,Sad,Happy
4.75,0.21,4.35,6.42,2.69,0,Sad,Happy
4.82,0.21,4.37,6.43,2.62,0,Sad,Happy
4.81,0.21,4.37,6.42,2.43,0,Sad,Happy
4.78,0.21,4.3,6.4,2.32,0,Sad,Happy
4.78,0.21,4.32,6.37,2.33,0,Sad,Happy
4.82,0.21,3.64,6.36,1.63,0,Sad,Happy
4.66,0.21,3.33,6.26,1.53,-0.01,Sad,Happy
4.21,0.24,3.27,5.76,1.45,-0.01,Sad,Happy
3.97,0.25,3.17,5.06,1.36,-0.01,Sad,Happy
3.91,0.26,3.13,4.57,1.43,-0.02,Sad,Happy
3.73,0.27,3.03,4.14,1.64,-0.02,Sad,Happy
3.23,0.31,2.92,3.88,1.67,-0.02,Sad,Happy
3.06,0.33,2.89,3.81,1.8,-0.02,Sad,Happy
3.11,0.32,2.73,3.82,1.97,-0.03,Sad,Happy
3.11,0.32,2.64,3.76,1.99,-0.02,Sad,Happy
2.96,0.34,2.56,3.74,2.03,-0.04,Sad,Happy
2.69,0.37,2.49,3.79,2.14,-0.07,Sad,Happy
2.59,0.39,2.55,3.82,2.12,-0.1,Sad,Happy
2.73,0.37,2.74,3.71,2.3,-0.1,Sad,Happy
2.99,0.33,2.79,3.73,2.34,-0.05,Sad,Happy
3.4,0.29,2.9,3.95,2.27,-0.01,Sad,Happy
3.6,0.28,4.04,4.02,2.86,0,Sad,Happy
3.93,0.25,4.57,4.25,3.24,-0.01,Sad,Happy
4.73,0.21,4.69,4.74,3.23,-0.01,Sad,Happy
5.15,0.19,4.71,4.82,3.23,0,Sad,Happy
5.23,0.19,4.7,4.89,3.24,0,Sad,Happy
5.23,0.19,4.71,5.1,3.23,0,Sad,Happy
5.22,0.19,4.75,5.2,3.21,0,Sad,Happy
5.22,0.19,4.79,5.27,3.24,0,Sad,Happy
5.2,0.19,4.79,5.33,3.2,0,Sad,Happy
5.16,0.19,4.82,5.32,3.36,0,Sad,Happy
5.11,0.2,4.81,5.27,3.2,0,Sad,Happy
5.08,0.2,4.36,5.25,2.79,0,Sad,Happy
3.06,0.33,2.72,3.54,3.44,-0.09,Calm,Agressive
2.24,0.45,2.75,3.13,3.48,-0.2,Calm,Agressive
1.7,0.59,2.78,2.82,3.49,-0.27,Calm,Agressive
1.73,0.58,3.05,2.71,3.48,-0.2,Calm,Agressive
1.68,0.6,3.18,2.74,3.49,-0.11,Calm,Agressive
1.6,0.63,3.19,2.85,3.53,-0.04,Calm,Agressive
