alpha,arousal1,beta,theta,gamma,valence1,Stimuli (Audio),Response
6.55,0.15,6.76,7.86,5.34,0,Sad,Sad
6.55,0.15,6.74,7.87,5.31,0,Sad,Sad
6.54,0.15,6.59,7.86,5.27,0,Sad,Sad
6.48,0.15,6.58,7.76,5.27,0,Sad,Sad
6.35,0.16,5.96,7.48,3.11,0,Sad,Sad
6.12,0.16,4.63,6.99,2.97,0,Sad,Sad
5.34,0.19,4.42,6.44,3.17,-0.01,Sad,Sad
4.22,0.24,4.43,5.71,3.2,-0.03,Sad,Sad
4.13,0.24,4.39,5.3,3.14,-0.04,Sad,Sad
3.87,0.26,4.47,5.35,3.15,-0.04,Sad,Sad
3.62,0.28,4.48,5.27,3.17,-0.05,Sad,Sad
3.69,0.27,4.48,5.2,3.13,-0.05,Sad,Sad
3.74,0.27,4.71,5.25,3.15,-0.06,Sad,Sad
3.89,0.26,4.72,5.2,3.33,-0.06,Sad,Sad
3.95,0.25,4.73,5.2,3.35,-0.05,Sad,Sad
3.97,0.25,4.75,5.52,3.35,-0.06,Sad,Sad
4.13,0.24,5.61,5.95,3.67,-0.05,Sad,Sad
5.08,0.2,5.83,6.3,3.76,-0.01,Sad,Sad
5.78,0.17,5.97,6.69,3.79,0,Sad,Sad
5.9,0.17,5.99,6.83,3.83,0,Sad,Sad
6.09,0.16,5.99,7.14,4,0,Sad,Sad
4.39,0.23,4.32,4.74,2.31,-0.01,Agressive,Agressive
4.3,0.23,3.78,4.91,2.24,-0.01,Agressive,Agressive
4.13,0.24,3.92,4.93,2.41,-0.01,Agressive,Agressive
3.99,0.25,4.01,4.92,2.53,-0.01,Agressive,Agressive
4.04,0.25,4,5.14,2.55,-0.01,Agressive,Agressive
4.09,0.24,4.02,5.32,2.53,-0.01,Agressive,Agressive
4.11,0.24,4.02,5.37,2.55,-0.01,Agressive,Agressive
4.22,0.24,3.78,5.36,2.34,-0.01,Agressive,Agressive
4.26,0.23,4,5.31,2.53,-0.02,Agressive,Agressive
4.24,0.24,4.12,5.25,2.54,-0.03,Agressive,Agressive
4.33,0.23,4.08,5.22,2.57,-0.02,Agressive,Agressive
4.43,0.23,4.06,5.24,2.53,-0.01,Agressive,Agressive
4.46,0.22,3.99,5.23,2.55,-0.01,Agressive,Agressive
4.44,0.22,3.78,5.23,2.26,-0.01,Agressive,Agressive
4.31,0.23,3.81,5.12,2.55,-0.01,Agressive,Agressive
4.19,0.24,4.21,4.84,2.58,-0.01,Agressive,Agressive
4.32,0.23,4.23,4.79,2.54,-0.01,Agressive,Agressive
4.37,0.23,4.21,4.93,2.52,0,Agressive,Agressive
4.26,0.23,4.13,5.02,2.49,0,Agressive,Agressive
4.14,0.24,3.73,5.11,2.32,0.02,Agressive,Agressive
3.99,0.25,3.74,5.13,2.57,0.02,Agressive,Agressive
3.8,0.26,4.25,5,2.66,0.01,Agressive,Agressive
3.94,0.25,4.29,4.87,2.66,0,Agressive,Agressive
4.13,0.24,4.32,4.76,2.64,-0.01,Agressive,Agressive
4.28,0.23,4.29,4.7,2.67,-0.01,Agressive,Agressive
4.35,0.23,4.04,4.68,2.48,-0.02,Agressive,Agressive
4.31,0.23,3.83,4.6,2.51,-0.02,Agressive,Agressive
4.17,0.24,4.15,4.3,2.63,-0.03,Agressive,Agressive
4.16,0.24,4.16,4.02,2.61,-0.03,Agressive,Agressive
4.28,0.23,4.16,3.8,2.6,-0.02,Agressive,Agressive
4.28,0.23,4.17,3.5,2.71,-0.02,Agressive,Agressive
4.22,0.24,4,3.96,2.48,-0.02,Agressive,Agressive
4.23,0.24,3.68,4.71,2.52,-0.02,Agressive,Agressive
4.2,0.24,3.99,4.98,2.74,-0.02,Agressive,Agressive
4.2,0.24,4.05,5.14,2.69,-0.01,Agressive,Agressive
4.25,0.24,4.09,5.3,2.65,0,Agressive,Agressive
4.25,0.24,4.07,5.39,2.5,0,Agressive,Agressive
4.23,0.24,4,5.42,2.35,0,Agressive,Agressive
4.18,0.24,3.68,5.44,2.24,-0.01,Agressive,Agressive
4.03,0.25,3.98,5.44,2.54,-0.01,Agressive,Agressive
3.96,0.25,4.01,5.46,2.53,-0.02,Agressive,Agressive
4.06,0.25,3.93,5.51,2.28,-0.02,Agressive,Agressive
4.15,0.24,3.93,5.45,2.26,-0.03,Agressive,Agressive
4.09,0.24,3.91,5.15,2.03,-0.03,Agressive,Agressive
3.82,0.26,3.57,4.88,1.99,-0.04,Agressive,Agressive
3.45,0.29,4.22,4.64,2.35,-0.08,Agressive,Agressive
3.39,0.29,4.21,4.52,2.38,-0.1,Agressive,Agressive
3.63,0.28,4.29,4.44,2.4,-0.07,Agressive,Agressive
3.7,0.27,4.3,4.38,2.41,-0.06,Agressive,Agressive
3.72,0.27,4.32,4.36,2.33,-0.06,Agressive,Agressive
3.74,0.27,4.18,4.35,2.51,-0.05,Agressive,Agressive
3.71,0.27,4.47,4.25,2.68,-0.04,Agressive,Agressive
3.67,0.27,4.5,4,2.72,-0.03,Agressive,Agressive
3.62,0.28,4.5,3.8,2.72,-0.02,Agressive,Agressive
3.66,0.27,4.54,3.71,2.69,-0.02,Agressive,Agressive
3.82,0.26,4.46,3.82,2.57,-0.02,Agressive,Agressive
3.88,0.26,4.33,3.85,3.01,-0.02,Agressive,Agressive
3.68,0.27,4.66,4.22,3.11,-0.02,Agressive,Agressive
3.6,0.28,4.67,5.14,3.11,-0.03,Agressive,Agressive
3.75,0.27,4.66,5.72,3.11,-0.01,Agressive,Agressive
3.92,0.25,4.67,5.91,3.12,0,Agressive,Agressive
3.95,0.25,4.48,5.93,2.89,0.01,Agressive,Agressive
3.91,0.26,4.46,5.97,3.1,0.01,Agressive,Agressive
3.86,0.26,4.56,6,3.07,0.01,Agressive,Agressive
3.98,0.25,4.55,6,3.07,0.01,Agressive,Agressive
4.12,0.24,4.53,6.01,3.05,0.01,Agressive,Agressive
4.09,0.24,4.51,6,2.99,0.01,Agressive,Agressive
4.03,0.25,3.92,5.97,2.42,0.01,Agressive,Agressive
4.04,0.25,3.94,5.89,2.72,0.01,Agressive,Agressive
4.01,0.25,4.25,5.57,2.75,0.01,Agressive,Agressive
3.93,0.25,4.22,4.96,2.76,0,Agressive,Agressive
3.93,0.25,4.23,4.6,2.69,-0.01,Agressive,Agressive
3.95,0.25,4.23,4.51,2.66,-0.01,Agressive,Agressive
3.96,0.25,3.97,4.31,2.33,-0.01,Agressive,Agressive
3.91,0.26,4.09,4.3,2.64,-0.01,Agressive,Agressive
3.66,0.27,4.11,4.36,2.65,-0.01,Agressive,Agressive
3.63,0.28,4.18,4.35,2.65,-0.01,Agressive,Agressive
3.7,0.27,4.18,4.35,2.63,0,Agressive,Agressive
3.75,0.27,4.23,4.35,2.62,0,Agressive,Agressive
3.81,0.26,3.78,4.3,2.22,0,Agressive,Agressive
3.82,0.26,4.33,4.21,2.64,0.01,Agressive,Agressive
3.77,0.27,4.35,4.21,2.62,0,Agressive,Agressive
3.9,0.26,4.36,4.32,2.62,0,Agressive,Agressive
4.02,0.25,4.39,4.32,2.63,0,Agressive,Agressive
4.04,0.25,4.36,4.3,2.52,0,Agressive,Agressive
4.01,0.25,4.3,4.3,2.44,0.01,Agressive,Agressive
3.87,0.26,4.79,4.35,2.74,0.01,Agressive,Agressive
3.78,0.26,4.78,4.43,2.72,0.01,Agressive,Agressive
3.88,0.26,4.76,4.52,2.74,0,Agressive,Agressive
3.92,0.25,4.72,4.58,2.72,0,Agressive,Agressive
3.87,0.26,4.71,4.57,2.5,0,Agressive,Agressive
3.81,0.26,4.41,4.46,2.56,0,Agressive,Agressive
3.72,0.27,4.82,4.25,2.68,0,Agressive,Agressive
3.61,0.28,4.82,4.17,2.66,0,Agressive,Agressive
3.53,0.28,4.82,4.24,2.69,-0.01,Agressive,Agressive
3.49,0.29,4.82,4.35,2.71,-0.01,Agressive,Agressive
3.47,0.29,4.59,4.33,2.37,-0.01,Agressive,Agressive
3.49,0.29,4.32,4.22,2.75,0,Agressive,Agressive
3.5,0.29,4.41,4.24,2.78,0,Agressive,Agressive
3.46,0.29,4.41,4.16,2.78,0.01,Agressive,Agressive
3.48,0.29,4.42,4.14,2.8,0.01,Agressive,Agressive
3.46,0.29,4.39,4.14,2.85,0.01,Agressive,Agressive
3.47,0.29,3.9,4.11,2.57,0.02,Agressive,Agressive
3.41,0.29,4.01,4.13,2.84,0.03,Agressive,Agressive
3.41,0.29,4.14,4.27,2.85,0.03,Agressive,Agressive
3.71,0.27,4.16,4.32,2.83,0.01,Agressive,Agressive
3.9,0.26,4.18,4.28,2.82,0.01,Agressive,Agressive
4.03,0.25,3.91,4.37,1.91,-0.07,Sad,Sad
3.95,0.25,3.87,4.25,2.17,-0.07,Sad,Sad
3.92,0.26,4.11,4.24,2.46,-0.08,Sad,Sad
3.98,0.25,4.12,4.38,2.48,-0.08,Sad,Sad
3.99,0.25,4.09,4.52,2.46,-0.06,Sad,Sad
3.88,0.26,4.04,4.58,2.46,-0.04,Sad,Sad
3.86,0.26,3.55,4.67,2.24,-0.03,Sad,Sad
3.87,0.26,3.47,4.67,2.3,-0.03,Sad,Sad
3.83,0.26,3.91,4.58,2.67,-0.04,Sad,Sad
3.87,0.26,4.14,4.56,2.65,-0.04,Sad,Sad
4.04,0.25,4.15,4.61,2.64,-0.03,Sad,Sad
4.26,0.23,4.13,4.66,2.69,-0.03,Sad,Sad
4.39,0.23,4.05,4.73,2.29,-0.03,Sad,Sad
4.39,0.23,3.84,4.72,2.27,-0.02,Sad,Sad
4.26,0.23,3.91,4.59,2.4,-0.02,Sad,Sad
4.15,0.24,4.29,4.55,2.6,-0.02,Sad,Sad
4.12,0.24,4.33,4.51,2.66,-0.02,Sad,Sad
4.09,0.24,4.35,4.33,2.64,-0.02,Sad,Sad
4.11,0.24,4.4,4.16,2.51,-0.03,Sad,Sad
4.23,0.24,4.06,4.12,2.24,-0.02,Sad,Sad
4.21,0.24,4.02,4.06,2.31,-0.02,Sad,Sad
4.02,0.25,4.36,4.13,2.59,-0.03,Sad,Sad
3.9,0.26,4.4,4.22,2.61,-0.03,Sad,Sad
3.91,0.26,4.39,4.21,2.67,-0.03,Sad,Sad
3.92,0.26,4.4,4.22,2.67,-0.04,Sad,Sad
3.92,0.26,4.1,4.18,2.37,-0.04,Sad,Sad
3.92,0.26,3.96,4.05,2.35,-0.03,Sad,Sad
3.92,0.26,4.4,4,2.53,-0.03,Sad,Sad
4.07,0.25,4.38,4.13,2.54,-0.03,Sad,Sad
4.37,0.23,4.37,4.34,2.64,-0.02,Sad,Sad
4.42,0.23,4.32,4.49,2.7,-0.01,Sad,Sad
4.4,0.23,4.33,4.58,2.53,-0.01,Sad,Sad
4.36,0.23,3.95,4.69,2.51,-0.01,Sad,Sad
4.19,0.24,4.22,4.87,2.77,-0.01,Sad,Sad
4.16,0.24,4.33,4.93,2.79,-0.02,Sad,Sad
4.3,0.23,4.36,4.89,2.78,-0.02,Sad,Sad
4.38,0.23,4.38,4.89,2.77,-0.02,Sad,Sad
4.42,0.23,4.3,5.02,2.79,-0.02,Sad,Sad
4.41,0.23,4.03,5.12,3.12,-0.01,Sad,Sad
4.14,0.24,4.35,5.24,3.32,-0.02,Sad,Sad
4.08,0.24,4.43,5.29,3.27,-0.03,Sad,Sad
4.3,0.23,4.49,5.26,3.26,-0.03,Sad,Sad
4.45,0.22,4.49,5.3,3.23,-0.03,Sad,Sad
4.53,0.22,4.55,5.36,3.17,-0.03,Sad,Sad
4.58,0.22,4.44,5.28,3.05,-0.03,Sad,Sad
4.66,0.21,4.55,5.48,3.15,-0.03,Sad,Sad
4.7,0.21,4.51,6.06,3.16,-0.03,Sad,Sad
4.81,0.21,4.51,6.43,3.18,-0.02,Sad,Sad
4.84,0.21,4.51,6.51,3.15,-0.03,Sad,Sad
4.87,0.21,4.48,6.47,3.04,-0.03,Sad,Sad
4.83,0.21,4.24,6.42,2.9,-0.02,Sad,Sad
4.68,0.21,4.4,6.4,2.91,-0.02,Sad,Sad
4.55,0.22,4.36,6.42,2.9,-0.03,Sad,Sad
4.46,0.22,4.37,6.39,2.98,-0.03,Sad,Sad
4.43,0.23,4.28,6.35,3.02,-0.03,Sad,Sad
4.39,0.23,4.13,6.34,2.98,-0.02,Sad,Sad
4.24,0.24,4.24,6.14,3.19,-0.01,Sad,Sad
3.95,0.25,4.36,5.49,3.19,-0.02,Sad,Sad
3.94,0.25,4.37,4.76,3.18,-0.03,Sad,Sad
3.91,0.26,4.39,4.55,2.88,-0.04,Sad,Sad
3.93,0.25,4.29,4.6,2.85,-0.05,Sad,Sad
3.99,0.25,4.1,4.69,3.11,-0.05,Sad,Sad
4,0.25,4.35,4.64,3.33,-0.05,Sad,Sad
3.94,0.25,4.43,4.72,3.34,-0.05,Sad,Sad
4.1,0.24,4.44,5.02,3.34,-0.03,Sad,Sad
4.33,0.23,4.45,5.54,3.33,-0.01,Sad,Sad
